           0.1	(   1.146642e+00   0.000000e+00 -4.802753e+00) (   5.733208e+00   0.000000e+00 -5.133327e+00) (   1.146642e+01   0.000000e+00 -5.227777e+00) (   1.719963e+01   0.000000e+00 -1.213888e+00) (   2.293283e+01   0.000000e+00 -1.634071e+00) 
0.2	(   1.146642e+00   0.000000e+00 -4.802605e+00) (   5.733208e+00   0.000000e+00 -5.133289e+00) (   1.146642e+01   0.000000e+00 -5.227773e+00) (   1.719963e+01   0.000000e+00 -1.213889e+00) (   2.293283e+01   0.000000e+00 -1.633015e+00) 
0.3	(   1.146642e+00   0.000000e+00 -4.802273e+00) (   5.733208e+00   0.000000e+00 -5.133205e+00) (   1.146642e+01   0.000000e+00 -5.227764e+00) (   1.719963e+01   0.000000e+00 -1.213891e+00) (   2.293283e+01   0.000000e+00 -1.638136e+00) 
0.4	(   1.146642e+00   0.000000e+00 -4.801706e+00) (   5.733208e+00   0.000000e+00 -5.133060e+00) (   1.146642e+01   0.000000e+00 -5.227748e+00) (   1.719963e+01   0.000000e+00 -1.213895e+00) (   2.293283e+01   0.000000e+00 -1.651744e+00) 
0.5	(   1.146642e+00   0.000000e+00 -4.800870e+00) (   5.733208e+00   0.000000e+00 -5.132841e+00) (   1.146642e+01   0.000000e+00 -5.227723e+00) (   1.719963e+01   0.000000e+00 -1.213900e+00) (   2.293283e+01   0.000000e+00 -1.661144e+00) 
0.6	(   1.146642e+00   0.000000e+00 -4.799760e+00) (   5.733208e+00   0.000000e+00 -5.132539e+00) (   1.146642e+01   0.000000e+00 -5.227687e+00) (   1.719963e+01   0.000000e+00 -1.213911e+00) (   2.293283e+01   0.000000e+00 -1.729451e+00) 
0.7	(   1.146642e+00   0.000000e+00 -4.798413e+00) (   5.733208e+00   0.000000e+00 -5.132149e+00) (   1.146642e+01   0.000000e+00 -5.227637e+00) (   1.719963e+01   0.000000e+00 -1.213924e+00) (   2.293283e+01   0.000000e+00 -1.782879e+00) 
0.8	(   1.146642e+00   0.000000e+00 -4.796905e+00) (   5.733208e+00   0.000000e+00 -5.131672e+00) (   1.146642e+01   0.000000e+00 -5.227573e+00) (   1.719963e+01   0.000000e+00 -1.213941e+00) (   2.293283e+01   0.000000e+00 -1.818572e+00) 
0.9	(   1.146642e+00   0.000000e+00 -4.795354e+00) (   5.733208e+00   0.000000e+00 -5.131110e+00) (   1.146642e+01   0.000000e+00 -5.227491e+00) (   1.719963e+01   0.000000e+00 -1.213964e+00) (   2.293283e+01   0.000000e+00 -1.847145e+00) 
1	(   1.146642e+00   0.000000e+00 -4.793923e+00) (   5.733208e+00   0.000000e+00 -5.130473e+00) (   1.146642e+01   0.000000e+00 -5.227392e+00) (   1.719963e+01   0.000000e+00 -1.213995e+00) (   2.293283e+01   0.000000e+00 -1.868578e+00) 
