*************************Generated by extractMotion.sh**********************
*      Thu May  8 17:05:42 MDT 2025 - Case: heave/mesh_3x
* Note: Data was extracted from log.overInterDyMFoam using extractMotion.sh
*       Can be visualized with plotMotion.py                            
0.18 17.0729 0 -0.0932815 1 0 0 0 1 0 0 0 1  0 0 -0.0745208 0 0 0
0.19 17.0729 0 -0.0940732 1 0 0 0 1 0 0 0 1  0 0 -0.0813283 0 0 0
0.2 17.0729 0 -0.0948806 1 0 0 0 1 0 0 0 1  0 0 -0.0828997 0 0 0
0.21 17.0729 0 -0.0957509 1 0 0 0 1 0 0 0 1  0 0 -0.0890777 0 0 0
0.22 17.0729 0 -0.0966451 1 0 0 0 1 0 0 0 1  0 0 -0.0915632 0 0 0
0.23 17.0729 0 -0.0975935 1 0 0 0 1 0 0 0 1  0 0 -0.0968579 0 0 0
0.24 17.0729 0 -0.0985565 1 0 0 0 1 0 0 0 1  0 0 -0.0980817 0 0 0
0.25 17.0729 0 -0.0995703 1 0 0 0 1 0 0 0 1  0 0 -0.103005 0 0 0
0.26 17.0729 0 -0.100634 1 0 0 0 1 0 0 0 1  0 0 -0.108663 0 0 0
0.27 17.0729 0 -0.101701 1 0 0 0 1 0 0 0 1  0 0 -0.108362 0 0 0
0.28 17.0729 0 -0.102834 1 0 0 0 1 0 0 0 1  0 0 -0.114941 0 0 0
0.29 17.0729 0 -0.103991 1 0 0 0 1 0 0 0 1  0 0 -0.117872 0 0 0
0.3 17.0729 0 -0.105168 1 0 0 0 1 0 0 0 1  0 0 -0.119081 0 0 0
0.31 17.0729 0 -0.106412 1 0 0 0 1 0 0 0 1  0 0 -0.126284 0 0 0
0.32 17.0729 0 -0.107671 1 0 0 0 1 0 0 0 1  0 0 -0.127972 0 0 0
0.33 17.0729 0 -0.108962 1 0 0 0 1 0 0 0 1  0 0 -0.130467 0 0 0
0.34 17.0729 0 -0.110292 1 0 0 0 1 0 0 0 1  0 0 -0.134559 0 0 0
0.35 17.0729 0 -0.111675 1 0 0 0 1 0 0 0 1  0 0 -0.140459 0 0 0
0.36 17.0729 0 -0.113047 1 0 0 0 1 0 0 0 1  0 0 -0.138598 0 0 0
0.37 17.0729 0 -0.114493 1 0 0 0 1 0 0 0 1  0 0 -0.146039 0 0 0
0.38 17.0729 0 -0.115946 1 0 0 0 1 0 0 0 1  0 0 -0.14718 0 0 0
0.39 17.0729 0 -0.117425 1 0 0 0 1 0 0 0 1  0 0 -0.149277 0 0 0
0.4 17.0729 0 -0.118983 1 0 0 0 1 0 0 0 1  0 0 -0.158083 0 0 0
0.41 17.0729 0 -0.120497 1 0 0 0 1 0 0 0 1  0 0 -0.152986 0 0 0
0.42 17.0729 0 -0.122115 1 0 0 0 1 0 0 0 1  0 0 -0.163155 0 0 0
0.43 17.0729 0 -0.123666 1 0 0 0 1 0 0 0 1  0 0 -0.156065 0 0 0
0.44 17.0729 0 -0.125309 1 0 0 0 1 0 0 0 1  0 0 -0.165001 0 0 0
0.45 17.0729 0 -0.126929 1 0 0 0 1 0 0 0 1  0 0 -0.163232 0 0 0
0.46 17.0729 0 -0.128551 1 0 0 0 1 0 0 0 1  0 0 -0.161981 0 0 0
0.47 17.0729 0 -0.130312 1 0 0 0 1 0 0 0 1  0 0 -0.178556 0 0 0
0.48 17.0729 0 -0.13191 1 0 0 0 1 0 0 0 1  0 0 -0.160348 0 0 0
0.49 17.0729 0 -0.133768 1 0 0 0 1 0 0 0 1  0 0 -0.18751 0 0 0
0.5 17.0729 0 -0.135436 1 0 0 0 1 0 0 0 1  0 0 -0.168965 0 0 0
0.51 17.0729 0 -0.13729 1 0 0 0 1 0 0 0 1  0 0 -0.186036 0 0 0
0.52 17.0729 0 -0.139092 1 0 0 0 1 0 0 0 1  0 0 -0.182795 0 0 0
0.53 17.0729 0 -0.140933 1 0 0 0 1 0 0 0 1  0 0 -0.185115 0 0 0
0.54 17.0729 0 -0.14286 1 0 0 0 1 0 0 0 1  0 0 -0.195487 0 0 0
0.55 17.0729 0 -0.144736 1 0 0 0 1 0 0 0 1  0 0 -0.189529 0 0 0
0.56 17.0729 0 -0.146676 1 0 0 0 1 0 0 0 1  0 0 -0.194658 0 0 0
0.57 17.0729 0 -0.148608 1 0 0 0 1 0 0 0 1  0 0 -0.194294 0 0 0
0.58 17.0729 0 -0.150552 1 0 0 0 1 0 0 0 1  0 0 -0.194821 0 0 0
0.59 17.0729 0 -0.152506 1 0 0 0 1 0 0 0 1  0 0 -0.195746 0 0 0
0.6 17.0729 0 -0.154484 1 0 0 0 1 0 0 0 1  0 0 -0.198573 0 0 0
0.61 17.0729 0 -0.156446 1 0 0 0 1 0 0 0 1  0 0 -0.196612 0 0 0
0.62 17.0729 0 -0.158515 1 0 0 0 1 0 0 0 1  0 0 -0.208767 0 0 0
0.63 17.0729 0 -0.160481 1 0 0 0 1 0 0 0 1  0 0 -0.197258 0 0 0
0.64 17.0729 0 -0.162546 1 0 0 0 1 0 0 0 1  0 0 -0.206366 0 0 0
0.65 17.0729 0 -0.164592 1 0 0 0 1 0 0 0 1  0 0 -0.206361 0 0 0
0.66 17.0729 0 -0.166632 1 0 0 0 1 0 0 0 1  0 0 -0.204551 0 0 0
0.67 17.0729 0 -0.168742 1 0 0 0 1 0 0 0 1  0 0 -0.212651 0 0 0
0.68 17.0729 0 -0.170803 1 0 0 0 1 0 0 0 1  0 0 -0.207709 0 0 0
0.69 17.0729 0 -0.172917 1 0 0 0 1 0 0 0 1  0 0 -0.212026 0 0 0
0.7 17.0729 0 -0.175017 1 0 0 0 1 0 0 0 1  0 0 -0.210604 0 0 0
0.71 17.0729 0 -0.177113 1 0 0 0 1 0 0 0 1  0 0 -0.209419 0 0 0
0.72 17.0729 0 -0.179257 1 0 0 0 1 0 0 0 1  0 0 -0.215033 0 0 0
0.73 17.0729 0 -0.181336 1 0 0 0 1 0 0 0 1  0 0 -0.208108 0 0 0
0.74 17.0729 0 -0.183514 1 0 0 0 1 0 0 0 1  0 0 -0.218452 0 0 0
0.75 17.0729 0 -0.185624 1 0 0 0 1 0 0 0 1  0 0 -0.2124 0 0 0
0.76 17.0729 0 -0.187716 1 0 0 0 1 0 0 0 1  0 0 -0.208078 0 0 0
0.77 17.0729 0 -0.189888 1 0 0 0 1 0 0 0 1  0 0 -0.217643 0 0 0
0.78 17.0729 0 -0.191966 1 0 0 0 1 0 0 0 1  0 0 -0.207908 0 0 0
0.79 17.0729 0 -0.194073 1 0 0 0 1 0 0 0 1  0 0 -0.208939 0 0 0
0.8 17.0729 0 -0.196174 1 0 0 0 1 0 0 0 1  0 0 -0.20999 0 0 0
0.81 17.0729 0 -0.198232 1 0 0 0 1 0 0 0 1  0 0 -0.205168 0 0 0
0.82 17.0729 0 -0.200324 1 0 0 0 1 0 0 0 1  0 0 -0.208715 0 0 0
0.83 17.0729 0 -0.202365 1 0 0 0 1 0 0 0 1  0 0 -0.203736 0 0 0
0.84 17.0729 0 -0.204388 1 0 0 0 1 0 0 0 1  0 0 -0.200877 0 0 0
0.85 17.0729 0 -0.206431 1 0 0 0 1 0 0 0 1  0 0 -0.203879 0 0 0
0.86 17.0729 0 -0.208405 1 0 0 0 1 0 0 0 1  0 0 -0.196479 0 0 0
0.87 17.0729 0 -0.210412 1 0 0 0 1 0 0 0 1  0 0 -0.199703 0 0 0
0.88 17.0729 0 -0.212355 1 0 0 0 1 0 0 0 1  0 0 -0.193434 0 0 0
0.89 17.0729 0 -0.214347 1 0 0 0 1 0 0 0 1  0 0 -0.198729 0 0 0
0.9 17.0729 0 -0.216244 1 0 0 0 1 0 0 0 1  0 0 -0.188866 0 0 0
0.91 17.0729 0 -0.218204 1 0 0 0 1 0 0 0 1  0 0 -0.194979 0 0 0
0.92 17.0729 0 -0.220081 1 0 0 0 1 0 0 0 1  0 0 -0.18697 0 0 0
0.93 17.0729 0 -0.22199 1 0 0 0 1 0 0 0 1  0 0 -0.189753 0 0 0
0.94 17.0729 0 -0.223865 1 0 0 0 1 0 0 0 1  0 0 -0.18718 0 0 0
0.95 17.0729 0 -0.225724 1 0 0 0 1 0 0 0 1  0 0 -0.185041 0 0 0
0.96 17.0729 0 -0.227593 1 0 0 0 1 0 0 0 1  0 0 -0.186511 0 0 0
0.97 17.0729 0 -0.229398 1 0 0 0 1 0 0 0 1  0 0 -0.179368 0 0 0
0.98 17.0729 0 -0.231243 1 0 0 0 1 0 0 0 1  0 0 -0.183688 0 0 0
0.99 17.0729 0 -0.233002 1 0 0 0 1 0 0 0 1  0 0 -0.174886 0 0 0
1 17.0729 0 -0.234797 1 0 0 0 1 0 0 0 1  0 0 -0.178319 0 0 0
1.01 17.0729 0 -0.236533 1 0 0 0 1 0 0 0 1  0 0 -0.172812 0 0 0
1.02 17.0729 0 -0.23826 1 0 0 0 1 0 0 0 1  0 0 -0.171204 0 0 0
1.03 17.0729 0 -0.239966 1 0 0 0 1 0 0 0 1  0 0 -0.169501 0 0 0
1.04 17.0729 0 -0.241673 1 0 0 0 1 0 0 0 1  0 0 -0.170261 0 0 0
1.05 17.0729 0 -0.243309 1 0 0 0 1 0 0 0 1  0 0 -0.162154 0 0 0
1.06 17.0729 0 -0.244999 1 0 0 0 1 0 0 0 1  0 0 -0.168196 0 0 0
1.07 17.0729 0 -0.246604 1 0 0 0 1 0 0 0 1  0 0 -0.159848 0 0 0
1.08 17.0729 0 -0.24824 1 0 0 0 1 0 0 0 1  0 0 -0.162343 0 0 0
1.09 17.0729 0 -0.249841 1 0 0 0 1 0 0 0 1  0 0 -0.159624 0 0 0
1.1 17.0729 0 -0.251421 1 0 0 0 1 0 0 0 1  0 0 -0.15701 0 0 0
1.11 17.0729 0 -0.253009 1 0 0 0 1 0 0 0 1  0 0 -0.158338 0 0 0
1.12 17.0729 0 -0.254554 1 0 0 0 1 0 0 0 1  0 0 -0.153884 0 0 0
1.13 17.0729 0 -0.256108 1 0 0 0 1 0 0 0 1  0 0 -0.154703 0 0 0
1.14 17.0729 0 -0.257597 1 0 0 0 1 0 0 0 1  0 0 -0.147701 0 0 0
1.15 17.0729 0 -0.259114 1 0 0 0 1 0 0 0 1  0 0 -0.150663 0 0 0
1.16 17.0729 0 -0.260553 1 0 0 0 1 0 0 0 1  0 0 -0.142691 0 0 0
1.17 17.0729 0 -0.262013 1 0 0 0 1 0 0 0 1  0 0 -0.144661 0 0 0
1.18 17.0729 0 -0.263423 1 0 0 0 1 0 0 0 1  0 0 -0.140025 0 0 0
1.19 17.0729 0 -0.264815 1 0 0 0 1 0 0 0 1  0 0 -0.137785 0 0 0
1.2 17.0729 0 -0.2662 1 0 0 0 1 0 0 0 1  0 0 -0.137608 0 0 0
1.21 17.0729 0 -0.267531 1 0 0 0 1 0 0 0 1  0 0 -0.131726 0 0 0
1.22 17.0729 0 -0.268864 1 0 0 0 1 0 0 0 1  0 0 -0.131919 0 0 0
1.23 17.0729 0 -0.270184 1 0 0 0 1 0 0 0 1  0 0 -0.131444 0 0 0
1.24 17.0729 0 -0.27144 1 0 0 0 1 0 0 0 1  0 0 -0.124088 0 0 0
1.25 17.0729 0 -0.272738 1 0 0 0 1 0 0 0 1  0 0 -0.128891 0 0 0
1.26 17.0729 0 -0.273955 1 0 0 0 1 0 0 0 1  0 0 -0.120848 0 0 0
1.27 17.0729 0 -0.275193 1 0 0 0 1 0 0 0 1  0 0 -0.12249 0 0 0
1.28 17.0729 0 -0.276395 1 0 0 0 1 0 0 0 1  0 0 -0.119492 0 0 0
1.29 17.0729 0 -0.277569 1 0 0 0 1 0 0 0 1  0 0 -0.116115 0 0 0
1.3 17.0729 0 -0.278744 1 0 0 0 1 0 0 0 1  0 0 -0.116662 0 0 0
1.31 17.0729 0 -0.279874 1 0 0 0 1 0 0 0 1  0 0 -0.111945 0 0 0
1.32 17.0729 0 -0.281004 1 0 0 0 1 0 0 0 1  0 0 -0.111865 0 0 0
1.33 17.0729 0 -0.282102 1 0 0 0 1 0 0 0 1  0 0 -0.108866 0 0 0
1.34 17.0729 0 -0.283181 1 0 0 0 1 0 0 0 1  0 0 -0.106758 0 0 0
1.35 17.0729 0 -0.284244 1 0 0 0 1 0 0 0 1  0 0 -0.105339 0 0 0
1.36 17.0729 0 -0.285272 1 0 0 0 1 0 0 0 1  0 0 -0.101703 0 0 0
1.37 17.0729 0 -0.286297 1 0 0 0 1 0 0 0 1  0 0 -0.10141 0 0 0
1.38 17.0729 0 -0.287283 1 0 0 0 1 0 0 0 1  0 0 -0.0975463 0 0 0
1.39 17.0729 0 -0.288254 1 0 0 0 1 0 0 0 1  0 0 -0.0958489 0 0 0
1.4 17.0729 0 -0.289205 1 0 0 0 1 0 0 0 1  0 0 -0.0940766 0 0 0
1.41 17.0729 0 -0.290128 1 0 0 0 1 0 0 0 1  0 0 -0.0910931 0 0 0
1.42 17.0729 0 -0.291034 1 0 0 0 1 0 0 0 1  0 0 -0.0894121 0 0 0
1.43 17.0729 0 -0.291912 1 0 0 0 1 0 0 0 1  0 0 -0.0867277 0 0 0
1.44 17.0729 0 -0.29277 1 0 0 0 1 0 0 0 1  0 0 -0.0847054 0 0 0
1.45 17.0729 0 -0.293608 1 0 0 0 1 0 0 0 1  0 0 -0.0826902 0 0 0
1.46 17.0729 0 -0.294432 1 0 0 0 1 0 0 0 1  0 0 -0.0813967 0 0 0
1.47 17.0729 0 -0.295217 1 0 0 0 1 0 0 0 1  0 0 -0.0772174 0 0 0
1.48 17.0729 0 -0.296007 1 0 0 0 1 0 0 0 1  0 0 -0.077836 0 0 0
1.49 17.0729 0 -0.296767 1 0 0 0 1 0 0 0 1  0 0 -0.0752847 0 0 0
1.5 17.0729 0 -0.297507 1 0 0 0 1 0 0 0 1  0 0 -0.0729119 0 0 0
1.51 17.0729 0 -0.298238 1 0 0 0 1 0 0 0 1  0 0 -0.0723089 0 0 0
1.52 17.0729 0 -0.298939 1 0 0 0 1 0 0 0 1  0 0 -0.0691241 0 0 0
1.53 17.0729 0 -0.299633 1 0 0 0 1 0 0 0 1  0 0 -0.0684907 0 0 0
1.54 17.0729 0 -0.300311 1 0 0 0 1 0 0 0 1  -0 -0 -0.0671126 0 0 0
1.55 17.0729 0 -0.300963 1 0 0 0 1 0 0 0 1  -0 -0 -0.0643147 0 0 0
1.56 17.0729 0 -0.301613 1 0 0 0 1 0 0 0 1  -0 -0 -0.0641621 0 0 0
1.57 17.0729 0 -0.302233 1 0 0 0 1 0 0 0 1  -0 -0 -0.0612686 0 0 0
1.58 17.0729 0 -0.302848 1 0 0 0 1 0 0 0 1  -0 -0 -0.0606478 0 0 0
1.59 17.0729 0 -0.303442 1 0 0 0 1 0 0 0 1  -0 -0 -0.0586823 0 0 0
1.6 17.0729 0 -0.30402 1 0 0 0 1 0 0 0 1  -0 -0 -0.0569788 0 0 0
1.61 17.0729 0 -0.304587 1 0 0 0 1 0 0 0 1  -0 -0 -0.0559417 0 0 0
1.62 17.0729 0 -0.305133 1 0 0 0 1 0 0 0 1  -0 -0 -0.0538243 0 0 0
1.63 17.0729 0 -0.305668 1 0 0 0 1 0 0 0 1  0 0 -0.0527715 0 0 0
1.64 17.0729 0 -0.306187 1 0 0 0 1 0 0 0 1  -0 -0 -0.0511136 0 0 0
1.65 17.0729 0 -0.30669 1 0 0 0 1 0 0 0 1  0 0 -0.049576 0 0 0
1.66 17.0729 0 -0.307181 1 0 0 0 1 0 0 0 1  0 0 -0.0483145 0 0 0
1.67 17.0729 0 -0.307655 1 0 0 0 1 0 0 0 1  0 0 -0.0467028 0 0 0
1.68 17.0729 0 -0.308117 1 0 0 0 1 0 0 0 1  0 0 -0.0454775 0 0 0
1.69 17.0729 0 -0.308564 1 0 0 0 1 0 0 0 1  0 0 -0.0440247 0 0 0
1.7 17.0729 0 -0.308997 1 0 0 0 1 0 0 0 1  0 0 -0.0425486 0 0 0
1.71 17.0729 0 -0.309417 1 0 0 0 1 0 0 0 1  0 0 -0.0413035 0 0 0
1.72 17.0729 0 -0.309825 1 0 0 0 1 0 0 0 1  0 0 -0.0402033 0 0 0
1.73 17.0729 0 -0.310219 1 0 0 0 1 0 0 0 1  -0 -0 -0.0387874 0 0 0
1.74 17.0729 0 -0.310603 1 0 0 0 1 0 0 0 1  -0 -0 -0.037798 0 0 0
1.75 17.0729 0 -0.310973 1 0 0 0 1 0 0 0 1  -0 -0 -0.0363575 0 0 0
1.76 17.0729 0 -0.311333 1 0 0 0 1 0 0 0 1  -0 -0 -0.0354571 0 0 0
1.77 17.0729 0 -0.311681 1 0 0 0 1 0 0 0 1  -0 -0 -0.0341476 0 0 0
1.78 17.0729 0 -0.312018 1 0 0 0 1 0 0 0 1  -0 -0 -0.0331693 0 0 0
1.79 17.0729 0 -0.312345 1 0 0 0 1 0 0 0 1  0 0 -0.0321281 0 0 0
1.8 17.0729 0 -0.31266 1 0 0 0 1 0 0 0 1  0 0 -0.0310214 0 0 0
1.81 17.0729 0 -0.312967 1 0 0 0 1 0 0 0 1  0 0 -0.030163 0 0 0
1.82 17.0729 0 -0.313262 1 0 0 0 1 0 0 0 1  -0 -0 -0.0289867 0 0 0
1.83 17.0729 0 -0.31355 1 0 0 0 1 0 0 0 1  -0 -0 -0.0283301 0 0 0
1.84 17.0729 0 -0.313828 1 0 0 0 1 0 0 0 1  -0 -0 -0.0272634 0 0 0
1.85 17.0729 0 -0.314097 1 0 0 0 1 0 0 0 1  -0 -0 -0.0264736 0 0 0
1.86 17.0729 0 -0.314358 1 0 0 0 1 0 0 0 1  -0 -0 -0.025692 0 0 0
1.87 17.0729 0 -0.31461 1 0 0 0 1 0 0 0 1  0 0 -0.0247963 0 0 0
1.88 17.0729 0 -0.314857 1 0 0 0 1 0 0 0 1  0 0 -0.024268 0 0 0
1.89 17.0729 0 -0.315094 1 0 0 0 1 0 0 0 1  0 0 -0.0233474 0 0 0
1.9 17.0729 0 -0.315326 1 0 0 0 1 0 0 0 1  0 0 -0.0228081 0 0 0
1.91 17.0729 0 -0.31555 1 0 0 0 1 0 0 0 1  0 0 -0.0220832 0 0 0
1.92 17.0729 0 -0.315768 1 0 0 0 1 0 0 0 1  0 0 -0.0215551 0 0 0
1.93 17.0729 0 -0.315979 1 0 0 0 1 0 0 0 1  0 0 -0.0206983 0 0 0
1.94 17.0729 0 -0.316186 1 0 0 0 1 0 0 0 1  0 0 -0.0204247 0 0 0
1.95 17.0729 0 -0.316385 1 0 0 0 1 0 0 0 1  0 0 -0.0196391 0 0 0
1.96 17.0729 0 -0.31658 1 0 0 0 1 0 0 0 1  0 0 -0.0192172 0 0 0
1.97 17.0729 0 -0.31677 1 0 0 0 1 0 0 0 1  0 0 -0.0187387 0 0 0
1.98 17.0729 0 -0.316955 1 0 0 0 1 0 0 0 1  0 0 -0.0181706 0 0 0
1.99 17.0729 0 -0.317134 1 0 0 0 1 0 0 0 1  -0 -0 -0.0176342 0 0 0
2 17.0729 0 -0.31731 1 0 0 0 1 0 0 0 1  -0 -0 -0.0173861 0 0 0
2.01 17.0729 0 -0.317481 1 0 0 0 1 0 0 0 1  -0 -0 -0.0168477 0 0 0
2.02 17.0729 0 -0.317649 1 0 0 0 1 0 0 0 1  -0 -0 -0.0166079 0 0 0
2.03 17.0729 0 -0.317813 1 0 0 0 1 0 0 0 1  0 0 -0.0162735 0 0 0
2.04 17.0729 0 -0.317974 1 0 0 0 1 0 0 0 1  0 0 -0.0158816 0 0 0
2.05 17.0729 0 -0.318132 1 0 0 0 1 0 0 0 1  0 0 -0.0157211 0 0 0
2.06 17.0729 0 -0.318288 1 0 0 0 1 0 0 0 1  0 0 -0.0154058 0 0 0
2.07 17.0729 0 -0.318441 1 0 0 0 1 0 0 0 1  0 0 -0.015222 0 0 0
2.08 17.0729 0 -0.318593 1 0 0 0 1 0 0 0 1  0 0 -0.015036 0 0 0
2.09 17.0729 0 -0.318741 1 0 0 0 1 0 0 0 1  0 0 -0.014752 0 0 0
2.1 17.0729 0 -0.318889 1 0 0 0 1 0 0 0 1  0 0 -0.0146979 0 0 0
2.11 17.0729 0 -0.319035 1 0 0 0 1 0 0 0 1  0 0 -0.0144344 0 0 0
2.12 17.0729 0 -0.319179 1 0 0 0 1 0 0 0 1  0 0 -0.0143204 0 0 0
2.13 17.0729 0 -0.319322 1 0 0 0 1 0 0 0 1  0 0 -0.0142243 0 0 0
2.14 17.0729 0 -0.319463 1 0 0 0 1 0 0 0 1  0 0 -0.0140235 0 0 0
2.15 17.0729 0 -0.319604 1 0 0 0 1 0 0 0 1  0 0 -0.0140534 0 0 0
2.16 17.0729 0 -0.319745 1 0 0 0 1 0 0 0 1  0 0 -0.0139604 0 0 0
2.17 17.0729 0 -0.319884 1 0 0 0 1 0 0 0 1  0 0 -0.0138562 0 0 0
2.18 17.0729 0 -0.320024 1 0 0 0 1 0 0 0 1  0 0 -0.0140579 0 0 0
2.19 17.0729 0 -0.320163 1 0 0 0 1 0 0 0 1  0 0 -0.0138285 0 0 0
2.2 17.0729 0 -0.320302 1 0 0 0 1 0 0 0 1  0 0 -0.0139243 0 0 0
2.21 17.0729 0 -0.320442 1 0 0 0 1 0 0 0 1  0 0 -0.0139882 0 0 0
2.22 17.0729 0 -0.320581 1 0 0 0 1 0 0 0 1  0 0 -0.013875 0 0 0
2.23 17.0729 0 -0.320722 1 0 0 0 1 0 0 0 1  0 0 -0.0141343 0 0 0
2.24 17.0729 0 -0.320862 1 0 0 0 1 0 0 0 1  0 0 -0.014019 0 0 0
2.25 17.0729 0 -0.321004 1 0 0 0 1 0 0 0 1  0 0 -0.0142777 0 0 0
2.26 17.0729 0 -0.321147 1 0 0 0 1 0 0 0 1  0 0 -0.0142957 0 0 0
2.27 17.0729 0 -0.321291 1 0 0 0 1 0 0 0 1  0 0 -0.0144867 0 0 0
2.28 17.0729 0 -0.321436 1 0 0 0 1 0 0 0 1  0 0 -0.0145616 0 0 0
2.29 17.0729 0 -0.321583 1 0 0 0 1 0 0 0 1  0 0 -0.0147243 0 0 0
2.3 17.0729 0 -0.321731 1 0 0 0 1 0 0 0 1  0 0 -0.0149171 0 0 0
2.31 17.0729 0 -0.321881 1 0 0 0 1 0 0 0 1  0 0 -0.0150209 0 0 0
2.32 17.0729 0 -0.322033 1 0 0 0 1 0 0 0 1  0 0 -0.0152518 0 0 0
2.33 17.0729 0 -0.322186 1 0 0 0 1 0 0 0 1  0 0 -0.0153925 0 0 0
2.34 17.0729 0 -0.322341 1 0 0 0 1 0 0 0 1  0 0 -0.0155754 0 0 0
2.35 17.0729 0 -0.322497 1 0 0 0 1 0 0 0 1  0 0 -0.0157733 0 0 0
2.36 17.0729 0 -0.322656 1 0 0 0 1 0 0 0 1  0 0 -0.0159031 0 0 0
2.37 17.0729 0 -0.322816 1 0 0 0 1 0 0 0 1  0 0 -0.0161012 0 0 0
2.38 17.0729 0 -0.322978 1 0 0 0 1 0 0 0 1  0 0 -0.0163274 0 0 0
2.39 17.0729 0 -0.323142 1 0 0 0 1 0 0 0 1  0 0 -0.0164836 0 0 0
2.4 17.0729 0 -0.323309 1 0 0 0 1 0 0 0 1  0 0 -0.01674 0 0 0
2.41 17.0729 0 -0.323477 1 0 0 0 1 0 0 0 1  0 0 -0.0169264 0 0 0
2.42 17.0729 0 -0.323647 1 0 0 0 1 0 0 0 1  0 0 -0.0171304 0 0 0
2.43 17.0729 0 -0.32382 1 0 0 0 1 0 0 0 1  0 0 -0.0173777 0 0 0
2.44 17.0729 0 -0.323994 1 0 0 0 1 0 0 0 1  0 0 -0.0175326 0 0 0
2.45 17.0729 0 -0.324171 1 0 0 0 1 0 0 0 1  0 0 -0.017804 0 0 0
2.46 17.0729 0 -0.324358 1 0 0 0 1 0 0 0 1  0 0 -0.0190173 0 0 0
2.47 17.0729 0 -0.324537 1 0 0 0 1 0 0 0 1  0 0 -0.0180484 0 0 0
2.48 17.0729 0 -0.324731 1 0 0 0 1 0 0 0 1  0 0 -0.0194898 0 0 0
2.49 17.0729 0 -0.324919 1 0 0 0 1 0 0 0 1  0 0 -0.0190086 0 0 0
2.5 17.0729 0 -0.325113 1 0 0 0 1 0 0 0 1  0 0 -0.0194458 0 0 0
2.51 17.0729 0 -0.325311 1 0 0 0 1 0 0 0 1  0 0 -0.0200228 0 0 0
2.52 17.0729 0 -0.325507 1 0 0 0 1 0 0 0 1  0 0 -0.0197225 0 0 0
2.53 17.0729 0 -0.325711 1 0 0 0 1 0 0 0 1  0 0 -0.0205105 0 0 0
2.54 17.0729 0 -0.325908 1 0 0 0 1 0 0 0 1  0 0 -0.0196474 0 0 0
2.55 17.0729 0 -0.326117 1 0 0 0 1 0 0 0 1  0 0 -0.0209288 0 0 0
2.56 17.0729 0 -0.32632 1 0 0 0 1 0 0 0 1  0 0 -0.0204741 0 0 0
2.57 17.0729 0 -0.326529 1 0 0 0 1 0 0 0 1  0 0 -0.0209159 0 0 0
2.58 17.0729 0 -0.32674 1 0 0 0 1 0 0 0 1  0 0 -0.0213137 0 0 0
2.59 17.0729 0 -0.326951 1 0 0 0 1 0 0 0 1  0 0 -0.0210965 0 0 0
2.6 17.0729 0 -0.327167 1 0 0 0 1 0 0 0 1  0 0 -0.0217097 0 0 0
2.61 17.0729 0 -0.327383 1 0 0 0 1 0 0 0 1  0 0 -0.0217262 0 0 0
2.62 17.0729 0 -0.327603 1 0 0 0 1 0 0 0 1  0 0 -0.0221526 0 0 0
2.63 17.0729 0 -0.327824 1 0 0 0 1 0 0 0 1  0 0 -0.022209 0 0 0
2.64 17.0729 0 -0.328047 1 0 0 0 1 0 0 0 1  0 0 -0.0224279 0 0 0
2.65 17.0729 0 -0.328272 1 0 0 0 1 0 0 0 1  0 0 -0.022643 0 0 0
