*************************Generated by extractMotion.sh**********************
*      Thu May  8 17:05:42 MDT 2025 - Case: heave/mesh_3x
* Note: Data was extracted from log.overInterDyMFoam using extractMotion.sh
*       Can be visualized with plotMotion.py                            
****************************************************************************
Time X(x3) Orientation(x9) dX(x3) dX_angular(x3)
0.01 17.0729 0 -0.0861404 1 0 0 0 1 0 0 0 1  0 0 -0.0280871 0 0 0
0.02 17.0729 0 -0.0861932 1 0 0 0 1 0 0 0 1  0 0 -0.0231546 0 0 0
0.03 17.0729 0 -0.0862096 1 0 0 0 1 0 0 0 1  0 0 -0.00343501 0 0 0
0.04 17.0729 0 -0.0864829 1 0 0 0 1 0 0 0 1  0 0 -0.0288644 0 0 0
0.05 17.0729 0 -0.0866599 1 0 0 0 1 0 0 0 1  0 0 -0.0211555 0 0 0
0.06 17.0729 0 -0.0869268 1 0 0 0 1 0 0 0 1  0 0 -0.0276288 0 0 0
0.07 17.0729 0 -0.0872729 1 0 0 0 1 0 0 0 1  0 0 -0.0376755 0 0 0
0.08 17.0729 0 -0.0875791 1 0 0 0 1 0 0 0 1  0 0 -0.032446 0 0 0
0.09 17.0729 0 -0.0880202 1 0 0 0 1 0 0 0 1  0 0 -0.0461281 0 0 0
0.1 17.0729 0 -0.0884237 1 0 0 0 1 0 0 0 1  0 0 -0.0427484 0 0 0
0.11 17.0729 0 -0.0889172 1 0 0 0 1 0 0 0 1  0 0 -0.0509677 0 0 0
0.12 17.0729 0 -0.0894349 1 0 0 0 1 0 0 0 1  0 0 -0.0542355 0 0 0
0.13 17.0729 0 -0.0899781 1 0 0 0 1 0 0 0 1  0 0 -0.0559895 0 0 0
0.14 17.0729 0 -0.0905885 1 0 0 0 1 0 0 0 1  0 0 -0.0630974 0 0 0
0.15 17.0729 0 -0.0912094 1 0 0 0 1 0 0 0 1  0 0 -0.0641077 0 0 0
0.16 17.0729 0 -0.0918516 1 0 0 0 1 0 0 0 1  0 0 -0.0651483 0 0 0
0.17 17.0729 0 -0.0925565 1 0 0 0 1 0 0 0 1  0 0 -0.0720781 0 0 0
