*************************Generated by extractQP.sh*************************
*      Wed Jan  8 12:38:23 MST 2025. Case: 
* Note: Outputs can be visualized with plotQP.py
***************************************************************************
Time(s) p0(Pa) p1(Pa) Q(m3/s)
1.32 -3.032662e+02 -8.985463e+00 -5.938539e-02
1.33 -3.270460e+02 -8.424029e+00 -5.904745e-02
1.34 -2.915962e+02 -9.211306e+00 -5.904873e-02
1.35 -3.264970e+02 -8.326787e+00 -5.863813e-02
1.36 -2.992654e+02 -8.788175e+00 -5.841996e-02
1.37 -3.346202e+02 -8.068027e+00 -5.803887e-02
1.38 -3.203622e+02 -8.295602e+00 -5.774774e-02
1.39 -2.938574e+02 -8.839167e+00 -5.759244e-02
1.4 -3.291842e+02 -7.948732e+00 -5.711027e-02
1.41 -3.008929e+02 -8.475845e+00 -5.688786e-02
1.42 -2.983640e+02 -8.475065e+00 -5.658368e-02
1.43 -3.076053e+02 -8.199693e+00 -5.613136e-02
1.44 -2.909843e+02 -8.529716e+00 -5.594586e-02
1.45 -2.859189e+02 -8.599175e+00 -5.582573e-02
1.46 -2.980000e+02 -8.233708e+00 -5.539755e-02
1.47 -3.129308e+02 -7.762190e+00 -5.485565e-02
1.48 -2.785133e+02 -8.391996e+00 -5.469442e-02
1.49 -2.959314e+02 -8.071384e+00 -5.438913e-02
1.5 -2.779386e+02 -8.354229e+00 -5.412550e-02
1.51 -2.956994e+02 -7.919448e+00 -5.369344e-02
1.52 -2.703773e+02 -8.270767e+00 -5.343239e-02
1.53 -2.937487e+02 -8.010239e+00 -5.302596e-02
1.54 -2.593396e+02 -8.473294e+00 -5.276940e-02
1.55 -2.897682e+02 -7.771675e+00 -5.227721e-02
1.56 -2.592533e+02 -8.337153e+00 -5.201506e-02
1.57 -2.859858e+02 -7.739538e+00 -5.153389e-02
1.58 -2.537918e+02 -8.271570e+00 -5.125767e-02
1.59 -2.812364e+02 -7.698901e+00 -5.073736e-02
1.6 -2.582304e+02 -8.071283e+00 -5.036919e-02
1.61 -2.809396e+02 -7.525599e+00 -4.986288e-02
1.62 -2.794802e+02 -7.467725e+00 -4.944503e-02
1.63 -2.557003e+02 -7.822545e+00 -4.914519e-02
1.64 -2.707401e+02 -7.476461e+00 -4.870948e-02
1.65 -2.763975e+02 -7.553906e+00 -4.828705e-02
1.66 -2.505744e+02 -7.664166e+00 -4.791755e-02
1.67 -3.018518e+02 -6.663615e+00 -4.704386e-02
1.68 -2.468357e+02 -6.971461e+00 -4.643603e-02
1.69 -2.549037e+02 -7.170547e+00 -4.591715e-02
1.7 -2.383980e+02 -7.211606e+00 -4.562277e-02
1.71 -2.630343e+02 -7.142182e+00 -4.530727e-02
1.72 -2.302545e+02 -7.055346e+00 -4.483483e-02
1.73 -2.410472e+02 -7.163454e+00 -4.427969e-02
1.74 -2.488486e+02 -6.556674e+00 -4.381682e-02
1.75 -2.657478e+02 -6.855854e+00 -4.367876e-02
1.76 -2.282495e+02 -7.003815e+00 -4.366246e-02
1.77 -2.559010e+02 -6.906854e+00 -4.330749e-02
1.78 -2.213406e+02 -7.000335e+00 -4.300687e-02
1.79 -2.672451e+02 -6.472638e+00 -4.245873e-02
1.8 -2.173151e+02 -6.941600e+00 -4.202029e-02
1.81 -2.499257e+02 -6.588909e+00 -4.133225e-02
1.82 -2.195642e+02 -6.741076e+00 -4.086613e-02
1.83 -2.348932e+02 -7.006967e+00 -4.063486e-02
1.84 -2.153212e+02 -7.104608e+00 -4.044844e-02
1.85 -2.098076e+02 -6.876226e+00 -3.996239e-02
1.86 -2.229032e+02 -6.583266e+00 -3.950176e-02
1.87 -2.055592e+02 -6.883645e+00 -3.932479e-02
1.88 -2.110415e+02 -6.818697e+00 -3.893578e-02
1.89 -1.823786e+02 -7.148706e+00 -3.864904e-02
1.9 -2.068882e+02 -6.761011e+00 -3.830744e-02
1.91 -2.053437e+02 -6.734032e+00 -3.801395e-02
1.92 -2.149750e+02 -6.598691e+00 -3.748072e-02
1.93 -1.942774e+02 -6.657298e+00 -3.704164e-02
1.94 -2.066599e+02 -6.441835e+00 -3.660037e-02
1.95 -1.899456e+02 -6.692274e+00 -3.641884e-02
1.96 -2.032066e+02 -6.607466e+00 -3.613255e-02
1.97 -1.869527e+02 -6.605261e+00 -3.586787e-02
1.98 -1.952659e+02 -6.400997e+00 -3.548322e-02
1.99 -1.858886e+02 -5.910677e+00 -3.484417e-02
2 -1.887406e+02 -6.976752e+00 -3.482848e-02
2.01 -1.731766e+02 -6.788225e+00 -3.462410e-02
2.02 -1.777302e+02 -6.631018e+00 -3.448010e-02
2.03 -1.634777e+02 -6.659091e+00 -3.422777e-02
2.04 -1.894802e+02 -6.300250e+00 -3.393162e-02
2.05 -1.730007e+02 -6.459282e+00 -3.385322e-02
2.06 -1.791179e+02 -6.603915e+00 -3.352687e-02
2.07 -1.844102e+02 -6.093645e+00 -3.261219e-02
2.08 -1.622549e+02 -6.402700e+00 -3.224231e-02
2.09 -1.778425e+02 -6.166242e+00 -3.192949e-02
2.1 -1.601143e+02 -6.429627e+00 -3.173616e-02
2.11 -1.733877e+02 -6.328869e+00 -3.136026e-02
2.12 -1.514820e+02 -6.662144e+00 -3.113678e-02
2.13 -1.580911e+02 -6.360994e+00 -3.065508e-02
2.14 -1.731277e+02 -6.148808e+00 -3.009972e-02
2.15 -1.538023e+02 -6.520810e+00 -2.992579e-02
2.16 -1.628337e+02 -6.313242e+00 -2.970192e-02
2.17 -1.493476e+02 -6.441102e+00 -2.954325e-02
2.18 -1.698408e+02 -6.100168e+00 -2.918988e-02
2.19 -1.431224e+02 -6.321556e+00 -2.905807e-02
2.2 -1.467392e+02 -6.304322e+00 -2.879670e-02
2.21 -1.631318e+02 -5.988060e+00 -2.829023e-02
2.22 -1.438565e+02 -6.230412e+00 -2.810130e-02
2.23 -1.753059e+02 -5.733062e+00 -2.777766e-02
2.24 -1.485939e+02 -5.999626e+00 -2.754261e-02
2.25 -1.443103e+02 -6.059559e+00 -2.735441e-02
2.26 -1.633711e+02 -5.855200e+00 -2.713634e-02
2.27 -1.302409e+02 -6.168705e+00 -2.698095e-02
2.28 -1.574111e+02 -5.796014e+00 -2.653556e-02
2.29 -1.292933e+02 -6.185431e+00 -2.651785e-02
2.3 -1.512962e+02 -5.881585e+00 -2.636518e-02
2.31 -1.325881e+02 -6.093758e+00 -2.631652e-02
2.32 -1.296177e+02 -6.136931e+00 -2.621723e-02
2.33 -1.358371e+02 -5.729884e+00 -2.579899e-02
2.34 -1.382576e+02 -5.930328e+00 -2.550580e-02
2.35 -1.255375e+02 -6.080127e+00 -2.539787e-02
2.36 -1.660722e+02 -5.581944e+00 -2.494232e-02
2.37 -1.259105e+02 -6.046172e+00 -2.484593e-02
2.38 -1.281409e+02 -6.029545e+00 -2.467633e-02
2.39 -1.271778e+02 -5.962676e+00 -2.437280e-02
2.4 -1.410862e+02 -5.840506e+00 -2.412043e-02
2.41 -1.143372e+02 -6.225811e+00 -2.435068e-02
2.42 -1.392973e+02 -5.975484e+00 -2.439154e-02
2.43 -1.178521e+02 -6.192550e+00 -2.447762e-02
2.44 -1.417747e+02 -5.890614e+00 -2.439955e-02
2.45 -1.212126e+02 -6.132027e+00 -2.446154e-02
2.46 -1.429643e+02 -5.887519e+00 -2.435766e-02
2.47 -1.225701e+02 -6.134561e+00 -2.444380e-02
2.48 -1.448247e+02 -5.946866e+00 -2.452498e-02
2.49 -1.258081e+02 -6.187478e+00 -2.484380e-02
2.5 -1.395980e+02 -5.978924e+00 -2.483221e-02
2.51 -1.185407e+02 -6.162681e+00 -2.479842e-02
2.52 -1.380438e+02 -5.979718e+00 -2.474015e-02
2.53 -1.214031e+02 -6.229479e+00 -2.493976e-02
2.54 -1.237346e+02 -6.190524e+00 -2.501029e-02
2.55 -1.241004e+02 -6.155978e+00 -2.498232e-02
2.56 -1.462236e+02 -5.926769e+00 -2.493746e-02
2.57 -1.449823e+02 -6.004988e+00 -2.506379e-02
2.58 -1.267927e+02 -6.242457e+00 -2.529582e-02
2.59 -1.445064e+02 -6.035680e+00 -2.538988e-02
2.6 -1.255556e+02 -6.156035e+00 -2.562380e-02
2.61 -1.304992e+02 -6.080420e+00 -2.564239e-02
2.62 -1.347647e+02 -6.033907e+00 -2.557714e-02
2.63 -1.514778e+02 -5.952057e+00 -2.565752e-02
2.64 -1.264955e+02 -6.298906e+00 -2.597378e-02
2.65 -1.532811e+02 -5.925931e+00 -2.591368e-02
2.66 -1.506278e+02 -5.994216e+00 -2.599078e-02
2.67 -1.255293e+02 -6.396052e+00 -2.639592e-02
2.68 -1.509804e+02 -6.124138e+00 -2.651997e-02
2.69 -1.284667e+02 -6.383899e+00 -2.677670e-02
2.7 -1.338470e+02 -6.363498e+00 -2.698403e-02
2.71 -1.575633e+02 -6.074317e+00 -2.697589e-02
2.72 -1.436156e+02 -6.279149e+00 -2.719077e-02
2.73 -1.619695e+02 -6.127897e+00 -2.737323e-02
2.74 -1.405061e+02 -6.338433e+00 -2.768476e-02
2.75 -1.603269e+02 -6.156562e+00 -2.773611e-02
2.76 -1.444876e+02 -6.377979e+00 -2.793962e-02
2.77 -1.627681e+02 -6.205827e+00 -2.808052e-02
2.78 -1.591428e+02 -6.311361e+00 -2.836110e-02
2.79 -1.459768e+02 -6.563703e+00 -2.874214e-02
2.8 -1.657422e+02 -6.286441e+00 -2.889318e-02
2.81 -1.730562e+02 -6.252685e+00 -2.895765e-02
2.82 -1.611490e+02 -6.457743e+00 -2.950551e-02
2.83 -1.634871e+02 -6.470494e+00 -2.981584e-02
2.84 -1.494082e+02 -6.660637e+00 -3.013537e-02
2.85 -1.702641e+02 -6.496013e+00 -3.027372e-02
2.86 -1.537258e+02 -6.714120e+00 -3.063594e-02
2.87 -1.637354e+02 -6.589237e+00 -3.086443e-02
2.88 -1.749498e+02 -6.483326e+00 -3.103692e-02
2.89 -1.480513e+02 -6.817372e+00 -3.143420e-02
2.9 -1.732823e+02 -6.561032e+00 -3.171172e-02
2.91 -1.724956e+02 -6.744949e+00 -3.208641e-02
2.92 -1.651625e+02 -6.800636e+00 -3.231183e-02
2.93 -1.862623e+02 -6.493572e+00 -3.230466e-02
2.94 -1.660303e+02 -6.850170e+00 -3.262001e-02
2.95 -1.808768e+02 -6.737036e+00 -3.282330e-02
2.96 -1.671971e+02 -6.901568e+00 -3.307860e-02
2.97 -1.629990e+02 -6.995233e+00 -3.332975e-02
2.98 -1.812978e+02 -6.786272e+00 -3.347212e-02
2.99 -1.707230e+02 -6.868869e+00 -3.379383e-02
3 -1.940126e+02 -6.707432e+00 -3.393325e-02
3.01 -1.982570e+02 -6.657182e+00 -3.404788e-02
3.02 -1.698400e+02 -7.113497e+00 -3.445359e-02
3.03 -2.015733e+02 -6.757196e+00 -3.453843e-02
3.04 -1.956948e+02 -6.790985e+00 -3.464475e-02
3.05 -1.852720e+02 -6.970049e+00 -3.481707e-02
3.06 -1.939792e+02 -6.802257e+00 -3.479532e-02
3.07 -1.978466e+02 -6.815690e+00 -3.491378e-02
3.08 -1.777221e+02 -7.204042e+00 -3.531775e-02
3.09 -2.075240e+02 -6.781165e+00 -3.541176e-02
3.1 -1.830209e+02 -7.176044e+00 -3.567997e-02
3.11 -2.026766e+02 -7.027080e+00 -3.581523e-02
3.12 -1.862327e+02 -7.149061e+00 -3.607783e-02
3.13 -2.187156e+02 -6.701906e+00 -3.612118e-02
3.14 -1.965923e+02 -7.095103e+00 -3.645109e-02
3.15 -1.985783e+02 -7.182148e+00 -3.682154e-02
3.16 -1.972659e+02 -7.131136e+00 -3.691753e-02
3.17 -2.028959e+02 -7.020199e+00 -3.685982e-02
3.18 -1.922488e+02 -7.347949e+00 -3.721033e-02
3.19 -2.156624e+02 -6.995359e+00 -3.736142e-02
3.2 -1.955880e+02 -7.197831e+00 -3.749016e-02
3.21 -2.012942e+02 -7.182994e+00 -3.761606e-02
3.22 -1.853499e+02 -7.546571e+00 -3.799806e-02
3.23 -2.174323e+02 -7.089919e+00 -3.808792e-02
3.24 -1.956701e+02 -7.386290e+00 -3.824943e-02
3.25 -2.194496e+02 -7.074101e+00 -3.828804e-02
3.26 -1.944613e+02 -7.488170e+00 -3.854460e-02
3.27 -2.048036e+02 -7.371813e+00 -3.871010e-02
3.28 -2.271002e+02 -7.042374e+00 -3.873896e-02
3.29 -1.980428e+02 -7.516646e+00 -3.890984e-02
3.3 -2.128135e+02 -7.250970e+00 -3.890520e-02
3.31 -1.971834e+02 -7.454840e+00 -3.910466e-02
3.32 -2.077517e+02 -7.469302e+00 -3.933210e-02
3.33 -2.000098e+02 -7.552272e+00 -3.956170e-02
3.34 -2.200736e+02 -7.240736e+00 -3.951531e-02
3.35 -2.164011e+02 -7.296997e+00 -3.946370e-02
3.36 -1.978404e+02 -7.549497e+00 -3.948811e-02
3.37 -2.143067e+02 -7.300113e+00 -3.944375e-02
3.38 -2.004182e+02 -7.587337e+00 -3.960758e-02
3.39 -2.261544e+02 -7.142318e+00 -3.948073e-02
3.4 -2.067080e+02 -7.450137e+00 -3.944857e-02
3.41 -2.201069e+02 -7.253234e+00 -3.938281e-02
3.42 -2.244737e+02 -7.243832e+00 -3.927027e-02
3.43 -2.031725e+02 -7.418721e+00 -3.909271e-02
3.44 -2.205137e+02 -7.089733e+00 -3.871666e-02
3.45 -2.011023e+02 -7.478346e+00 -3.868554e-02
3.46 -2.114590e+02 -7.431405e+00 -3.862880e-02
3.47 -1.955981e+02 -7.574908e+00 -3.855408e-02
3.48 -2.172740e+02 -7.147312e+00 -3.829326e-02
3.49 -2.045524e+02 -7.317032e+00 -3.819199e-02
3.5 -2.009330e+02 -7.370801e+00 -3.809112e-02
3.51 -2.138621e+02 -7.176087e+00 -3.796687e-02
3.52 -1.909469e+02 -7.555627e+00 -3.804415e-02
3.53 -2.181803e+02 -7.079400e+00 -3.783559e-02
3.54 -1.995454e+02 -7.300241e+00 -3.777332e-02
3.55 -2.133945e+02 -7.105083e+00 -3.760855e-02
3.56 -2.119081e+02 -7.080076e+00 -3.742641e-02
3.57 -2.053726e+02 -7.232765e+00 -3.745760e-02
3.58 -1.980804e+02 -7.377516e+00 -3.758791e-02
3.59 -2.167026e+02 -6.978562e+00 -3.727065e-02
3.6 -1.918311e+02 -7.299024e+00 -3.714812e-02
3.61 -1.909442e+02 -7.340917e+00 -3.715147e-02
3.62 -2.107818e+02 -7.246385e+00 -3.703716e-02
3.63 -1.961931e+02 -7.232953e+00 -3.689692e-02
3.64 -1.893858e+02 -7.248744e+00 -3.668052e-02
3.65 -2.035536e+02 -7.092828e+00 -3.650160e-02
3.66 -1.899642e+02 -7.312160e+00 -3.648902e-02
3.67 -2.062177e+02 -7.034018e+00 -3.621201e-02
3.68 -1.817536e+02 -7.338616e+00 -3.607090e-02
3.69 -1.929574e+02 -7.159524e+00 -3.595002e-02
3.7 -2.026949e+02 -7.072209e+00 -3.590288e-02
3.71 -1.802365e+02 -7.353468e+00 -3.590162e-02
3.72 -2.037283e+02 -6.922212e+00 -3.554843e-02
3.73 -1.763294e+02 -7.284920e+00 -3.549777e-02
3.74 -1.988334e+02 -6.983110e+00 -3.527790e-02
3.75 -1.819612e+02 -7.101125e+00 -3.496815e-02
3.76 -1.969931e+02 -6.818247e+00 -3.451437e-02
3.77 -1.777400e+02 -7.102464e+00 -3.433813e-02
3.78 -1.933841e+02 -6.878415e+00 -3.400911e-02
3.79 -1.727965e+02 -7.110587e+00 -3.388084e-02
3.8 -1.961794e+02 -6.812995e+00 -3.369846e-02
3.81 -1.722654e+02 -7.115656e+00 -3.364503e-02
3.82 -1.905177e+02 -6.802285e+00 -3.334569e-02
3.83 -1.590062e+02 -7.222375e+00 -3.329366e-02
3.84 -1.942196e+02 -6.689370e+00 -3.292763e-02
3.85 -1.797414e+02 -6.918906e+00 -3.282383e-02
3.86 -1.576506e+02 -7.263757e+00 -3.298905e-02
3.87 -1.771134e+02 -6.895401e+00 -3.277367e-02
3.88 -1.711068e+02 -6.920329e+00 -3.253221e-02
3.89 -1.872428e+02 -6.699301e+00 -3.223356e-02
3.9 -1.663759e+02 -6.933708e+00 -3.206191e-02
3.91 -1.732951e+02 -6.826770e+00 -3.183052e-02
3.92 -1.796482e+02 -6.741358e+00 -3.163925e-02
3.93 -1.757393e+02 -6.773533e+00 -3.138528e-02
3.94 -1.535254e+02 -6.919445e+00 -3.107243e-02
3.95 -1.684158e+02 -6.684893e+00 -3.068888e-02
3.96 -1.524523e+02 -6.937917e+00 -3.053803e-02
3.97 -1.747898e+02 -6.541902e+00 -3.009917e-02
3.98 -1.515974e+02 -6.770494e+00 -2.979754e-02
3.99 -1.559856e+02 -6.636483e+00 -2.938570e-02
4 -1.599574e+02 -6.609156e+00 -2.912815e-02
4.01 -1.509966e+02 -6.683340e+00 -2.887084e-02
4.02 -1.634610e+02 -6.452325e+00 -2.842960e-02
4.03 -1.285786e+02 -6.848823e+00 -2.825953e-02
4.04 -1.612108e+02 -6.455977e+00 -2.787811e-02
4.05 -1.474259e+02 -6.588509e+00 -2.767806e-02
4.06 -1.612968e+02 -6.368968e+00 -2.731961e-02
4.07 -1.541899e+02 -6.414473e+00 -2.701644e-02
4.08 -1.386349e+02 -6.589953e+00 -2.681781e-02
4.09 -1.305764e+02 -6.577165e+00 -2.644317e-02
4.1 -1.499372e+02 -6.305136e+00 -2.588674e-02
4.11 -1.293172e+02 -6.561083e+00 -2.565785e-02
4.12 -1.382087e+02 -6.410363e+00 -2.535352e-02
4.13 -1.466601e+02 -6.258477e+00 -2.493674e-02
4.14 -1.178211e+02 -6.531629e+00 -2.472675e-02
4.15 -1.412919e+02 -6.223507e+00 -2.424598e-02
4.16 -1.156481e+02 -6.472860e+00 -2.402895e-02
4.17 -1.470641e+02 -6.242258e+00 -2.360269e-02
4.18 -1.284267e+02 -6.242158e+00 -2.324908e-02
4.19 -1.200386e+02 -6.291061e+00 -2.288514e-02
4.2 -1.312642e+02 -6.122744e+00 -2.241906e-02
4.21 -1.167598e+02 -6.242915e+00 -2.211587e-02
4.22 -1.239110e+02 -6.131820e+00 -2.177710e-02
4.23 -1.037216e+02 -6.340127e+00 -2.159482e-02
4.24 -1.501364e+02 -5.793379e+00 -2.094560e-02
4.25 -9.815164e+01 -6.236078e+00 -2.063378e-02
4.26 -1.219344e+02 -5.997230e+00 -2.021337e-02
4.27 -1.057099e+02 -5.831894e+00 -1.988225e-02
4.28 -1.103790e+02 -5.981248e+00 -1.954990e-02
4.29 -9.822989e+01 -5.461665e+00 -1.906445e-02
4.3 -9.544571e+01 -6.960026e+00 -1.942172e-02
4.31 -1.005227e+02 -6.293913e+00 -1.933867e-02
4.32 -1.334203e+02 -5.703527e+00 -1.856505e-02
4.33 -8.500273e+01 -6.043909e+00 -1.819444e-02
4.34 -1.036541e+02 -5.949624e+00 -1.782087e-02
4.35 -8.221783e+01 -6.135912e+00 -1.766201e-02
4.36 -1.047114e+02 -5.906699e+00 -1.736492e-02
4.37 -1.028920e+02 -5.950773e+00 -1.709327e-02
4.38 -9.382065e+01 -5.956783e+00 -1.684240e-02
4.39 -9.269217e+01 -5.883614e+00 -1.641308e-02
4.4 -8.044752e+01 -5.935943e+00 -1.601312e-02
4.41 -7.483660e+01 -5.961797e+00 -1.577522e-02
4.42 -9.629842e+01 -5.826516e+00 -1.548227e-02
4.43 -8.096177e+01 -6.106332e+00 -1.533011e-02
4.44 -8.796125e+01 -5.993191e+00 -1.498617e-02
4.45 -6.587980e+01 -6.140590e+00 -1.472383e-02
