*************************Generated by extractQP.sh*************************
*      Wed Jan  8 12:38:23 MST 2025. Case: 
* Note: Outputs can be visualized with plotQP.py
***************************************************************************
Time(s) p0(Pa) p1(Pa) Q(m3/s)
0.01 -3.087420e+01 -5.796086e+00 -3.101562e-03
0.02 -5.360214e+01 -8.063115e+00 -1.023696e-02
0.03 -7.265479e+01 -7.490161e+00 -1.604860e-02
0.04 -9.322763e+01 -7.034668e+00 -1.929172e-02
0.05 -5.182163e+01 -7.725220e+00 -2.328723e-02
0.06 -1.031250e+02 -7.602070e+00 -2.704933e-02
0.07 -1.823347e+02 -6.778747e+00 -2.978558e-02
0.08 -1.819099e+02 -6.827821e+00 -3.228170e-02
0.09 -1.645322e+02 -7.128698e+00 -3.460703e-02
0.1 -1.768068e+02 -7.122003e+00 -3.665466e-02
0.11 -2.066821e+02 -7.022218e+00 -3.850108e-02
0.12 -2.239411e+02 -6.780538e+00 -4.027914e-02
0.13 -2.005448e+02 -7.358464e+00 -4.201541e-02
0.14 -2.094207e+02 -7.326080e+00 -4.329170e-02
0.15 -2.221551e+02 -7.139654e+00 -4.446675e-02
0.16 -2.246393e+02 -7.291598e+00 -4.571215e-02
0.17 -2.270103e+02 -7.362438e+00 -4.668266e-02
0.18 -3.248623e+02 -5.840993e+00 -4.686478e-02
0.19 -2.701643e+02 -6.891272e+00 -4.759067e-02
0.2 -2.680871e+02 -6.977375e+00 -4.815149e-02
0.21 -1.835317e+02 -8.713918e+00 -4.925900e-02
0.22 -2.541142e+02 -7.591112e+00 -4.999715e-02
0.23 -3.166772e+02 -6.478754e+00 -5.022664e-02
0.24 -2.556583e+02 -7.540292e+00 -5.078692e-02
0.25 -2.826331e+02 -7.208474e+00 -5.118136e-02
0.26 -2.512734e+02 -7.878665e+00 -5.171535e-02
0.27 -2.830189e+02 -7.360460e+00 -5.207169e-02
0.28 -2.770787e+02 -7.799813e+00 -5.288963e-02
0.29 -2.763104e+02 -7.837798e+00 -5.363337e-02
0.3 -3.584979e+02 -6.065611e+00 -5.330034e-02
0.31 -2.593893e+02 -8.138070e+00 -5.357398e-02
0.32 -2.936106e+02 -7.444615e+00 -5.367463e-02
0.33 -2.438387e+02 -8.584469e+00 -5.441896e-02
0.34 -2.735202e+02 -8.056548e+00 -5.501181e-02
0.35 -3.215238e+02 -7.410443e+00 -5.526773e-02
0.36 -2.748441e+02 -8.276366e+00 -5.582730e-02
0.37 -3.142206e+02 -7.530088e+00 -5.609620e-02
0.38 -2.975740e+02 -8.059376e+00 -5.633458e-02
0.39 -3.150522e+02 -7.720118e+00 -5.630194e-02
0.4 -2.811000e+02 -8.243798e+00 -5.674958e-02
0.41 -3.208104e+02 -8.092644e+00 -5.720461e-02
0.42 -3.049778e+02 -8.247652e+00 -5.766402e-02
0.43 -3.054002e+02 -8.240333e+00 -5.794228e-02
0.44 -3.201377e+02 -8.098951e+00 -5.802030e-02
0.45 -3.126964e+02 -8.041207e+00 -5.834199e-02
0.46 -2.994774e+02 -8.456366e+00 -5.902948e-02
0.47 -3.199205e+02 -8.187543e+00 -5.932748e-02
0.48 -2.975206e+02 -8.839477e+00 -5.979273e-02
0.49 -3.524470e+02 -7.494430e+00 -5.977669e-02
0.5 -3.436191e+02 -7.927218e+00 -6.024687e-02
0.51 -3.169551e+02 -8.821579e+00 -6.072734e-02
0.52 -3.282302e+02 -8.375055e+00 -6.088911e-02
0.53 -3.134561e+02 -8.401624e+00 -6.144083e-02
0.54 -3.457915e+02 -8.782318e+00 -6.227077e-02
0.55 -2.905543e+02 -9.556134e+00 -6.252666e-02
0.56 -3.040705e+02 -9.286780e+00 -6.265916e-02
0.57 -3.249232e+02 -8.927466e+00 -6.290346e-02
0.58 -3.373145e+02 -8.955378e+00 -6.362172e-02
0.59 -3.399153e+02 -8.943736e+00 -6.407441e-02
0.6 -3.670298e+02 -8.361686e+00 -6.401233e-02
0.61 -3.225324e+02 -9.249405e+00 -6.409598e-02
0.62 -3.451407e+02 -8.789845e+00 -6.412994e-02
0.63 -3.363246e+02 -9.015503e+00 -6.421387e-02
0.64 -4.057428e+02 -7.860398e+00 -6.366958e-02
0.65 -3.567449e+02 -8.534472e+00 -6.359171e-02
0.66 -3.280379e+02 -9.136019e+00 -6.368995e-02
0.67 -3.671668e+02 -8.290448e+00 -6.349221e-02
0.68 -3.517167e+02 -8.710373e+00 -6.370111e-02
0.69 -3.636011e+02 -8.429207e+00 -6.391111e-02
0.7 -3.309556e+02 -9.306320e+00 -6.420093e-02
0.71 -3.518225e+02 -8.767823e+00 -6.409797e-02
0.72 -3.488359e+02 -8.812762e+00 -6.415188e-02
0.73 -3.183269e+02 -9.768464e+00 -6.460764e-02
0.74 -3.423932e+02 -9.298637e+00 -6.474259e-02
0.75 -3.256242e+02 -9.424989e+00 -6.474957e-02
0.76 -3.205923e+02 -9.675360e+00 -6.500160e-02
0.77 -3.462081e+02 -9.204414e+00 -6.530460e-02
0.78 -3.682969e+02 -8.685450e+00 -6.530534e-02
0.79 -3.981324e+02 -8.388212e+00 -6.494987e-02
0.8 -3.390115e+02 -9.207818e+00 -6.495077e-02
0.81 -3.522479e+02 -8.988552e+00 -6.486943e-02
0.82 -3.486012e+02 -9.067186e+00 -6.488334e-02
0.83 -3.221223e+02 -9.760696e+00 -6.510183e-02
0.84 -3.584524e+02 -8.856212e+00 -6.494406e-02
0.85 -3.499506e+02 -9.106520e+00 -6.499521e-02
0.86 -3.394651e+02 -9.378967e+00 -6.516214e-02
0.87 -3.503654e+02 -9.087136e+00 -6.496045e-02
0.88 -3.392406e+02 -9.272107e+00 -6.479461e-02
0.89 -3.390958e+02 -9.158751e+00 -6.460090e-02
0.9 -3.556574e+02 -8.870329e+00 -6.438820e-02
0.91 -3.595131e+02 -8.812700e+00 -6.423082e-02
0.92 -3.345436e+02 -9.284808e+00 -6.429827e-02
0.93 -3.267691e+02 -9.474636e+00 -6.430127e-02
0.94 -3.501503e+02 -8.971388e+00 -6.409791e-02
0.95 -3.351528e+02 -9.287987e+00 -6.419097e-02
0.96 -3.598779e+02 -8.828403e+00 -6.404609e-02
0.97 -3.245684e+02 -9.510937e+00 -6.406634e-02
0.98 -3.559816e+02 -8.754793e+00 -6.386839e-02
0.99 -3.350813e+02 -9.286100e+00 -6.395771e-02
1 -3.706635e+02 -8.435892e+00 -6.378080e-02
1.01 -3.228499e+02 -9.478568e+00 -6.392222e-02
1.02 -3.530049e+02 -8.815157e+00 -6.372511e-02
1.03 -3.421608e+02 -9.214499e+00 -6.397968e-02
1.04 -3.984780e+02 -8.499860e+00 -6.383235e-02
1.05 -3.634981e+02 -8.462989e+00 -6.340913e-02
1.06 -3.608312e+02 -8.464417e+00 -6.297460e-02
1.07 -3.352201e+02 -9.191948e+00 -6.308601e-02
1.08 -3.209307e+02 -9.570739e+00 -6.318902e-02
1.09 -3.131885e+02 -9.416102e+00 -6.310145e-02
1.1 -3.508948e+02 -8.800505e+00 -6.288093e-02
1.11 -3.497578e+02 -9.018944e+00 -6.274558e-02
1.12 -3.184472e+02 -9.386602e+00 -6.253258e-02
1.13 -3.664488e+02 -8.193301e+00 -6.201949e-02
1.14 -3.031905e+02 -9.604711e+00 -6.219615e-02
1.15 -3.482877e+02 -8.747173e+00 -6.209287e-02
1.16 -3.085049e+02 -9.667758e+00 -6.222128e-02
1.17 -3.469143e+02 -8.680129e+00 -6.194979e-02
1.18 -3.356446e+02 -8.989303e+00 -6.185161e-02
1.19 -3.323251e+02 -8.943629e+00 -6.173096e-02
1.2 -3.269501e+02 -9.008047e+00 -6.150612e-02
1.21 -3.093340e+02 -9.390777e+00 -6.147636e-02
1.22 -3.482224e+02 -8.506118e+00 -6.128532e-02
1.23 -3.190168e+02 -9.150849e+00 -6.132182e-02
1.24 -3.263357e+02 -8.925272e+00 -6.112301e-02
1.25 -3.651309e+02 -8.653784e+00 -6.062863e-02
1.26 -2.898189e+02 -9.630477e+00 -6.067767e-02
1.27 -3.392537e+02 -8.448833e+00 -6.032497e-02
1.28 -3.006484e+02 -9.311326e+00 -6.036456e-02
1.29 -3.336716e+02 -8.541632e+00 -6.011840e-02
1.3 -2.880349e+02 -9.495520e+00 -6.006648e-02
1.31 -3.318851e+02 -8.523320e+00 -5.964533e-02
