*************************Generated by extractQP.sh*************************
*      Wed Jan  8 12:38:23 MST 2025. Case: 
* Note: Outputs can be visualized with plotQP.py
***************************************************************************
Time(s) p0(Pa) p1(Pa) Q(m3/s)
0.01 -7.801223e+00 -5.907536e+00 -3.357947e-03
0.02 -1.449858e+01 -8.212793e+00 -1.123179e-02
0.03 -1.801669e+01 -7.882195e+00 -1.843239e-02
0.04 -1.937566e+01 -7.655343e+00 -2.340873e-02
0.05 -2.300604e+01 -7.788952e+00 -2.884930e-02
0.06 -2.658165e+01 -8.204427e+00 -3.479228e-02
0.07 -3.003474e+01 -8.465139e+00 -4.050087e-02
0.08 -3.226799e+01 -8.645678e+00 -4.597161e-02
0.09 -3.569552e+01 -8.938976e+00 -5.139439e-02
0.1 -3.901806e+01 -9.364368e+00 -5.680864e-02
0.11 -4.224844e+01 -9.735669e+00 -6.208846e-02
0.12 -4.547071e+01 -1.033340e+01 -6.729359e-02
0.13 -4.878247e+01 -1.089787e+01 -7.240550e-02
0.14 -5.162061e+01 -1.128086e+01 -7.736432e-02
0.15 -5.483910e+01 -1.190794e+01 -8.219603e-02
0.16 -5.799678e+01 -1.258216e+01 -8.693783e-02
0.17 -6.097222e+01 -1.321718e+01 -9.155750e-02
0.18 -6.355752e+01 -1.379985e+01 -9.605256e-02
0.19 -6.651443e+01 -1.450476e+01 -1.004438e-01
0.2 -6.970165e+01 -1.518492e+01 -1.047438e-01
0.21 -7.244091e+01 -1.582087e+01 -1.089310e-01
0.22 -7.527169e+01 -1.649753e+01 -1.130060e-01
0.23 -7.804757e+01 -1.717288e+01 -1.170054e-01
0.24 -8.076636e+01 -1.786324e+01 -1.209098e-01
0.25 -8.344461e+01 -1.859637e+01 -1.247342e-01
0.26 -8.607468e+01 -1.930801e+01 -1.284282e-01
0.27 -8.868346e+01 -2.001657e+01 -1.320482e-01
0.28 -9.119690e+01 -2.071295e+01 -1.355900e-01
0.29 -9.373320e+01 -2.139176e+01 -1.391182e-01
0.3 -9.608054e+01 -2.217570e+01 -1.426279e-01
0.31 -9.857349e+01 -2.290415e+01 -1.459903e-01
0.32 -1.009057e+02 -2.356895e+01 -1.491852e-01
0.33 -1.035296e+02 -2.431529e+01 -1.523740e-01
0.34 -1.058747e+02 -2.503035e+01 -1.555200e-01
0.35 -1.082188e+02 -2.578828e+01 -1.585773e-01
0.36 -1.103784e+02 -2.649818e+01 -1.614342e-01
0.37 -1.124638e+02 -2.714915e+01 -1.641628e-01
0.38 -1.144623e+02 -2.774581e+01 -1.668599e-01
0.39 -1.167534e+02 -2.860707e+01 -1.695860e-01
0.4 -1.186231e+02 -2.911999e+01 -1.722067e-01
0.41 -1.205837e+02 -2.977791e+01 -1.747201e-01
0.42 -1.225701e+02 -3.048422e+01 -1.771752e-01
0.43 -1.243550e+02 -3.102201e+01 -1.795782e-01
0.44 -1.264255e+02 -3.179453e+01 -1.820395e-01
0.45 -1.282448e+02 -3.239169e+01 -1.844282e-01
0.46 -1.302248e+02 -3.307730e+01 -1.868571e-01
0.47 -1.321926e+02 -3.389206e+01 -1.890292e-01
0.48 -1.337477e+02 -3.450252e+01 -1.909226e-01
0.49 -1.344109e+02 -3.444222e+01 -1.924801e-01
0.5 -1.365564e+02 -3.534128e+01 -1.946456e-01
0.51 -1.382258e+02 -3.599893e+01 -1.968402e-01
0.52 -1.399118e+02 -3.657518e+01 -1.987727e-01
0.53 -1.412287e+02 -3.706087e+01 -2.005190e-01
0.54 -1.430176e+02 -3.785498e+01 -2.022272e-01
0.55 -1.437901e+02 -3.802700e+01 -2.035116e-01
0.56 -1.448661e+02 -3.839056e+01 -2.048536e-01
0.57 -1.460697e+02 -3.885059e+01 -2.062889e-01
0.58 -1.472953e+02 -3.931551e+01 -2.077281e-01
0.59 -1.486000e+02 -3.988806e+01 -2.090854e-01
0.6 -1.490234e+02 -3.987479e+01 -2.100692e-01
0.61 -1.502822e+02 -4.041819e+01 -2.113037e-01
0.62 -1.515291e+02 -4.106404e+01 -2.125045e-01
0.63 -1.514655e+02 -4.077983e+01 -2.131041e-01
0.64 -1.526776e+02 -4.132946e+01 -2.142254e-01
0.65 -1.538870e+02 -4.185733e+01 -2.155001e-01
0.66 -1.545744e+02 -4.202003e+01 -2.165130e-01
0.67 -1.554387e+02 -4.243364e+01 -2.173987e-01
0.68 -1.560519e+02 -4.262971e+01 -2.182070e-01
0.69 -1.566173e+02 -4.278554e+01 -2.189529e-01
0.7 -1.571698e+02 -4.303010e+01 -2.195963e-01
0.71 -1.577634e+02 -4.332502e+01 -2.202077e-01
0.72 -1.580578e+02 -4.333580e+01 -2.206394e-01
0.73 -1.585538e+02 -4.363475e+01 -2.212278e-01
0.74 -1.590693e+02 -4.381517e+01 -2.217249e-01
0.75 -1.592301e+02 -4.385821e+01 -2.219695e-01
0.76 -1.592788e+02 -4.381215e+01 -2.221414e-01
0.77 -1.596629e+02 -4.405418e+01 -2.224695e-01
0.78 -1.599042e+02 -4.411052e+01 -2.227444e-01
0.79 -1.600733e+02 -4.421164e+01 -2.229167e-01
0.8 -1.600474e+02 -4.414361e+01 -2.229728e-01
0.81 -1.600989e+02 -4.418767e+01 -2.230090e-01
0.82 -1.601832e+02 -4.425622e+01 -2.230270e-01
