# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.01          	-5.796086e+00	(-8.254336e-02 -4.049242e-05 -5.215747e-04)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.02          	-8.063115e+00	(-2.851832e-01 -7.409614e-05 -2.172407e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.03          	-7.490161e+00	(-4.700186e-01 6.818154e-05 -4.244051e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.04          	-7.034668e+00	(-5.861218e-01 1.454466e-04 -5.600738e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.05          	-7.725220e+00	(-6.984923e-01 1.346317e-04 -6.238263e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.06          	-7.602070e+00	(-8.198528e-01 5.964394e-05 -6.442646e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.07          	-6.778747e+00	(-9.268261e-01 2.482070e-05 -6.746588e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.08          	-6.827821e+00	(-1.007556e+00 -9.126913e-05 -6.515919e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.09          	-7.128698e+00	(-1.073130e+00 -6.815258e-05 -6.742006e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.1           	-7.122003e+00	(-1.136492e+00 -8.243369e-05 -6.981141e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.11          	-7.022218e+00	(-1.198557e+00 -1.276636e-04 -8.436896e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.12          	-6.780538e+00	(-1.260938e+00 -1.099266e-04 -8.191506e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.13          	-7.358464e+00	(-1.304970e+00 2.350672e-05 -8.022945e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.14          	-7.326080e+00	(-1.347075e+00 1.722678e-04 -9.195801e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.15          	-7.139654e+00	(-1.386539e+00 1.932845e-04 -9.854158e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.16          	-7.291598e+00	(-1.425525e+00 2.412804e-04 -1.053191e-01)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.17          	-7.362438e+00	(-1.455758e+00 3.470397e-04 -1.110352e-01)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.18          	-5.840993e+00	(-1.498112e+00 2.149402e-05 -9.527724e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.19          	-6.891272e+00	(-1.502614e+00 -1.049200e-04 -7.448436e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.2           	-6.977375e+00	(-1.515039e+00 -1.421816e-04 -5.926992e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.21          	-8.713918e+00	(-1.511746e+00 -1.958875e-04 -5.411943e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.22          	-7.591112e+00	(-1.552630e+00 -1.867801e-04 -5.591067e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.23          	-6.478754e+00	(-1.587768e+00 -3.573749e-04 -4.978761e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.24          	-7.540292e+00	(-1.584070e+00 -2.484537e-04 -5.578536e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.25          	-7.208474e+00	(-1.598024e+00 -1.683917e-04 -4.141896e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.26          	-7.878665e+00	(-1.598210e+00 -1.052116e-04 -3.835287e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.27          	-7.360460e+00	(-1.620362e+00 -2.693729e-05 -3.642946e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.28          	-7.799813e+00	(-1.639523e+00 -2.494363e-05 -3.388530e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.29          	-7.837798e+00	(-1.656886e+00 7.664065e-05 -3.872312e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
0.3           	-6.065611e+00	(-1.681997e+00 -7.216679e-05 -3.195636e-02)
# Region type : patch baffle_out
# Faces       : 42
# Area        : 2.821760e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)	areaAverage(U)
