*************************Generated by extractTensions.sh************************
*      Wed Jan  8 20:35:54 MST 2025. Case: 3D_RM6_4CPH_low
* Note: Data was extracted from log.overInterDyMFoam using extractTensions.sh
*       Can be visualized with plotTensions.py
********************************************************************************
Time Line1_fx Line1_fy Line1_fz	Line2_fx Line2_fy Line2_fz	Line3_fx Line3_fy Line3_fz
0.01		-15.3041 	 -8.5265 	 -1.11708	-15.3041 	 8.5265 	 -1.11708	6.08463 	 -0 	 -1.78074
0.02		-15.3038 	 -8.52631 	 -1.11706	-15.3038 	 8.52631 	 -1.11706	6.08466 	 -0 	 -1.78073
0.03		-15.3025 	 -8.52563 	 -1.117	-15.3025 	 8.52563 	 -1.117	6.08488 	 -0 	 -1.78072
0.04		-15.3005 	 -8.52449 	 -1.11689	-15.3005 	 8.52449 	 -1.11689	6.08543 	 -0 	 -1.78076
0.05		-15.2978 	 -8.52304 	 -1.11675	-15.2978 	 8.52304 	 -1.11675	6.08623 	 -0 	 -1.78085
0.06		-15.2946 	 -8.52127 	 -1.11659	-15.2946 	 8.52127 	 -1.11659	6.08717 	 -0 	 -1.78094
0.07		-15.2907 	 -8.51913 	 -1.11638	-15.2907 	 8.51913 	 -1.11638	6.08831 	 -0 	 -1.78106
0.08		-15.2862 	 -8.51664 	 -1.11615	-15.2862 	 8.51664 	 -1.11615	6.08967 	 -0 	 -1.7812
0.09		-15.2811 	 -8.51382 	 -1.11588	-15.2811 	 8.51382 	 -1.11588	6.09122 	 -0 	 -1.78137
0.1		-15.2754 	 -8.51067 	 -1.11559	-15.2754 	 8.51067 	 -1.11559	6.09295 	 -0 	 -1.78155
0.11		-15.2691 	 -8.5072 	 -1.11526	-15.2691 	 8.5072 	 -1.11526	6.09486 	 -0 	 -1.78175
0.12		-15.2622 	 -8.50341 	 -1.1149	-15.2622 	 8.50341 	 -1.1149	6.09696 	 -0 	 -1.78198
0.13		-15.2547 	 -8.49932 	 -1.11452	-15.2547 	 8.49932 	 -1.11452	6.09925 	 -0 	 -1.78222
0.14		-15.2468 	 -8.49492 	 -1.11411	-15.2468 	 8.49492 	 -1.11411	6.10171 	 -0 	 -1.78249
0.15		-15.2382 	 -8.49023 	 -1.11367	-15.2382 	 8.49023 	 -1.11367	6.10434 	 -0 	 -1.78277
0.16		-15.2292 	 -8.48527 	 -1.11321	-15.2292 	 8.48527 	 -1.11321	6.10713 	 -0 	 -1.78306
0.17		-15.2197 	 -8.48003 	 -1.11272	-15.2197 	 8.48003 	 -1.11272	6.11008 	 -0 	 -1.78338
0.18		-15.2097 	 -8.47453 	 -1.11221	-15.2097 	 8.47453 	 -1.11221	6.11318 	 -0 	 -1.7837
0.19		-15.1993 	 -8.46877 	 -1.11168	-15.1993 	 8.46877 	 -1.11168	6.11644 	 -0 	 -1.78404
0.2		-15.1884 	 -8.46276 	 -1.11113	-15.1884 	 8.46276 	 -1.11113	6.11984 	 -0 	 -1.78439
0.21		-15.177 	 -8.45652 	 -1.11055	-15.177 	 8.45652 	 -1.11055	6.12339 	 -0 	 -1.78475
0.22		-15.1653 	 -8.45005 	 -1.10996	-15.1653 	 8.45005 	 -1.10996	6.12709 	 -0 	 -1.78513
0.23		-15.1531 	 -8.44336 	 -1.10934	-15.1531 	 8.44336 	 -1.10934	6.13094 	 -0 	 -1.78553
0.24		-15.1406 	 -8.43645 	 -1.10871	-15.1406 	 8.43645 	 -1.10871	6.13495 	 -0 	 -1.78594
0.25		-15.1277 	 -8.42934 	 -1.10806	-15.1277 	 8.42934 	 -1.10806	6.13911 	 -0 	 -1.78637
0.26		-15.1144 	 -8.42202 	 -1.1074	-15.1144 	 8.42202 	 -1.1074	6.14343 	 -0 	 -1.78681
0.27		-15.1007 	 -8.41451 	 -1.10672	-15.1007 	 8.41451 	 -1.10672	6.1479 	 -0 	 -1.78728
0.28		-15.0868 	 -8.40681 	 -1.10602	-15.0868 	 8.40681 	 -1.10602	6.15253 	 -0 	 -1.78777
0.29		-15.0725 	 -8.39894 	 -1.10531	-15.0725 	 8.39894 	 -1.10531	6.15734 	 -0 	 -1.78828
0.3		-15.0578 	 -8.39088 	 -1.10458	-15.0578 	 8.39088 	 -1.10458	6.16233 	 -0 	 -1.78881
0.31		-15.0429 	 -8.38266 	 -1.10384	-15.0429 	 8.38266 	 -1.10384	6.16751 	 -0 	 -1.78939
0.32		-15.0277 	 -8.37427 	 -1.10308	-15.0277 	 8.37427 	 -1.10308	6.17289 	 -0 	 -1.78999
0.33		-15.0121 	 -8.36572 	 -1.10232	-15.0121 	 8.36572 	 -1.10232	6.17846 	 -0 	 -1.79063
0.34		-14.9964 	 -8.35703 	 -1.10154	-14.9964 	 8.35703 	 -1.10154	6.18423 	 -0 	 -1.7913
0.35		-14.9803 	 -8.34819 	 -1.10074	-14.9803 	 8.34819 	 -1.10074	6.19022 	 -0 	 -1.79201
0.36		-14.964 	 -8.33922 	 -1.09994	-14.964 	 8.33922 	 -1.09994	6.19642 	 -0 	 -1.79276
0.37		-14.9475 	 -8.3301 	 -1.09913	-14.9475 	 8.3301 	 -1.09913	6.20283 	 -0 	 -1.79355
0.38		-14.9307 	 -8.32087 	 -1.0983	-14.9307 	 8.32087 	 -1.0983	6.20944 	 -0 	 -1.79438
0.39		-14.9138 	 -8.31153 	 -1.09747	-14.9138 	 8.31153 	 -1.09747	6.21627 	 -0 	 -1.79525
0.4		-14.8966 	 -8.30207 	 -1.09663	-14.8966 	 8.30207 	 -1.09663	6.22331 	 -0 	 -1.79616
0.41		-14.8792 	 -8.29251 	 -1.09578	-14.8792 	 8.29251 	 -1.09578	6.23059 	 -0 	 -1.79712
0.42		-14.8617 	 -8.28287 	 -1.09493	-14.8617 	 8.28287 	 -1.09493	6.23807 	 -0 	 -1.79813
0.43		-14.844 	 -8.27313 	 -1.09407	-14.844 	 8.27313 	 -1.09407	6.24579 	 -0 	 -1.79918
0.44		-14.8262 	 -8.26331 	 -1.0932	-14.8262 	 8.26331 	 -1.0932	6.25377 	 -0 	 -1.80029
0.45		-14.8082 	 -8.2534 	 -1.09232	-14.8082 	 8.2534 	 -1.09232	6.26201 	 -0 	 -1.80146
0.46		-14.7901 	 -8.2434 	 -1.09144	-14.7901 	 8.2434 	 -1.09144	6.27055 	 -0 	 -1.8027
0.47		-14.7718 	 -8.23333 	 -1.09056	-14.7718 	 8.23333 	 -1.09056	6.27939 	 -0 	 -1.80401
0.48		-14.7533 	 -8.22317 	 -1.08967	-14.7533 	 8.22317 	 -1.08967	6.28854 	 -0 	 -1.80539
0.49		-14.7348 	 -8.21292 	 -1.08876	-14.7348 	 8.21292 	 -1.08876	6.29797 	 -0 	 -1.80684
0.5		-14.7161 	 -8.20265 	 -1.08786	-14.7161 	 8.20265 	 -1.08786	6.30763 	 -0 	 -1.80835
