*************************Generated by extractQP.sh*************************
*      Thu Jan  9 10:54:29 MST 2025. Case: 
* Note: Outputs can be visualized with plotQP.py
***************************************************************************
Time(s) p0(Pa) p1(Pa) Q(m3/s)
0.01 -1.323685e+01 -6.080621e+00 -3.301868e-03
0.02 -1.330268e+01 -8.497262e+00 -1.101406e-02
0.03 -6.091778e+01 -7.832307e+00 -1.749088e-02
0.04 -5.778038e+01 -7.408033e+00 -2.168902e-02
0.05 -5.304425e+01 -7.748153e+00 -2.617577e-02
0.06 -9.545813e+01 -7.451342e+00 -3.071106e-02
0.07 -1.345716e+02 -6.781136e+00 -3.480702e-02
0.08 -1.069998e+02 -7.674582e+00 -3.864266e-02
0.09 -1.196777e+02 -7.636866e+00 -4.213315e-02
0.1 -8.854864e+01 -9.145145e+00 -4.590496e-02
0.11 -1.364347e+02 -8.261667e+00 -4.929560e-02
0.12 -1.407499e+02 -8.476003e+00 -5.248026e-02
0.13 -1.599693e+02 -8.241676e+00 -5.529841e-02
0.14 -1.554840e+02 -8.635573e+00 -5.799851e-02
0.15 -1.671722e+02 -8.714270e+00 -6.047985e-02
0.16 -1.887127e+02 -8.587788e+00 -6.274866e-02
0.17 -1.457031e+02 -1.019780e+01 -6.527077e-02
0.18 -1.822744e+02 -9.506307e+00 -6.737367e-02
0.19 -1.948139e+02 -9.280640e+00 -6.925823e-02
0.2 -1.952422e+02 -9.761473e+00 -7.093095e-02
0.21 -2.028024e+02 -9.536764e+00 -7.246778e-02
0.22 -2.054739e+02 -9.991948e+00 -7.410101e-02
0.23 -1.601211e+02 -1.266541e+01 -7.600570e-02
0.24 -1.861607e+02 -1.121970e+01 -7.766374e-02
0.25 -1.755265e+02 -1.274742e+01 -7.939344e-02
0.26 -2.262907e+02 -1.039804e+01 -8.070194e-02
0.27 -1.967750e+02 -1.241551e+01 -8.224976e-02
0.28 -2.164475e+02 -1.150190e+01 -8.349967e-02
0.29 -2.227286e+02 -1.153281e+01 -8.454601e-02
0.3 -2.412186e+02 -1.085200e+01 -8.553301e-02
0.31 -2.317711e+02 -1.175005e+01 -8.666585e-02
0.32 -2.197018e+02 -1.226395e+01 -8.774122e-02
0.33 -2.495888e+02 -1.128098e+01 -8.863457e-02
0.34 -2.406014e+02 -1.220912e+01 -8.970655e-02
0.35 -2.534689e+02 -1.142768e+01 -9.054476e-02
0.36 -2.207740e+02 -1.344966e+01 -9.173870e-02
0.37 -2.510012e+02 -1.205044e+01 -9.250032e-02
0.38 -2.435121e+02 -1.339476e+01 -9.353619e-02
0.39 -2.693153e+02 -1.185672e+01 -9.413090e-02
0.4 -2.284718e+02 -1.445365e+01 -9.502803e-02
0.41 -2.319054e+02 -1.480373e+01 -9.596220e-02
0.42 -2.668375e+02 -1.285055e+01 -9.659376e-02
0.43 -2.293185e+02 -1.538299e+01 -9.743089e-02
0.44 -2.378828e+02 -1.509164e+01 -9.823311e-02
0.45 -2.798002e+02 -1.270950e+01 -9.873358e-02
0.46 -2.741350e+02 -1.337655e+01 -9.955096e-02
0.47 -2.848720e+02 -1.311695e+01 -1.001566e-01
0.48 -2.661672e+02 -1.410034e+01 -1.006843e-01
0.49 -2.817888e+02 -1.337531e+01 -1.012459e-01
0.5 -2.742981e+02 -1.382985e+01 -1.016893e-01
0.51 -2.855940e+02 -1.348571e+01 -1.023786e-01
0.52 -2.757580e+02 -1.424168e+01 -1.032664e-01
0.53 -2.800505e+02 -1.428443e+01 -1.038831e-01
0.54 -3.206449e+02 -1.163231e+01 -1.041147e-01
0.55 -2.824528e+02 -1.445295e+01 -1.045464e-01
0.56 -2.865406e+02 -1.423259e+01 -1.048918e-01
0.57 -2.836430e+02 -1.446067e+01 -1.052013e-01
0.58 -2.954694e+02 -1.370707e+01 -1.056260e-01
0.59 -2.897022e+02 -1.477354e+01 -1.064466e-01
0.6 -3.155428e+02 -1.327136e+01 -1.067032e-01
0.61 -2.767841e+02 -1.529486e+01 -1.071333e-01
0.62 -3.065940e+02 -1.395769e+01 -1.073348e-01
0.63 -2.687888e+02 -1.655509e+01 -1.075032e-01
0.64 -3.018413e+02 -1.434891e+01 -1.075538e-01
0.65 -2.751185e+02 -1.625085e+01 -1.080716e-01
0.66 -3.207682e+02 -1.309067e+01 -1.081687e-01
0.67 -2.939236e+02 -1.504696e+01 -1.082943e-01
0.68 -3.055941e+02 -1.439458e+01 -1.083661e-01
0.69 -2.853569e+02 -1.583860e+01 -1.086256e-01
0.7 -3.035675e+02 -1.448297e+01 -1.087628e-01
0.71 -3.036904e+02 -1.482076e+01 -1.091347e-01
0.72 -2.716023e+02 -1.741622e+01 -1.096789e-01
0.73 -3.019344e+02 -1.509273e+01 -1.097111e-01
0.74 -2.800262e+02 -1.706713e+01 -1.102928e-01
0.75 -2.995152e+02 -1.515281e+01 -1.103956e-01
0.76 -3.000151e+02 -1.493292e+01 -1.097598e-01
0.77 -2.844592e+02 -1.613394e+01 -1.096915e-01
0.78 -3.196993e+02 -1.398955e+01 -1.096931e-01
