*************************Generated by extractForces.sh*************************
*      Wed Apr  2 09:07:47 MDT 2025 - Case: surge/T25/
* Note: Data was extracted from log.overInterDyMFoam using extractForces.sh
*       Can be visualized with plotForces.py
*******************************************************************************
Time X(x3) Force(x3) Moment(x3)
0.87              -368.398 -7.4017 5071.94              0.0659946 29763.3 40.842
0.88              -289.166 -0.573286 5141.76              0.0151804 30154.7 3.65358
0.89              -249.697 -0.288467 5181.97              0.0721437 30372.9 1.74256
0.9              -224.858 -0.339703 5218.79              0.0717133 30569.1 2.07795
0.91              -197.778 -0.26049 5228.28              0.0692811 30623.1 1.61942
0.92              -172.487 -0.569643 5243.89              0.0923576 30706.9 3.23284
0.93              -151.016 -0.474311 5261.17              0.0346015 30800 2.7848
0.94              -132.702 0.0767034 5271.05              0.115778 30852 -0.182461
0.95              -114.383 -0.481173 5282.47              0.00980493 30912.7 2.76638
0.96              -145.429 7.32706 5232.98              -0.103825 30634.7 -39.6443
0.97              -89.1797 -0.417941 5275.81              0.0920903 30874.9 2.31776
0.98              -68.1607 -0.520174 5291.97              0.0301479 30963.5 2.97258
0.99              -55.0524 0.191038 5303.88              0.58296 31025.9 -0.856303
1              -38.9198 0.446058 5317.79              0.135096 31101.9 -2.30536
1.01              -54.1804 -6.04566 5268.62              0.420147 30815.5 34.4954
1.02              -5.71498 -0.645757 5350.45              -0.00650051 31280 3.73458
1.03              12.9516 0.214314 5316.97              -0.139674 31106.8 -1.18708
1.04              24.6211 0.179261 5363.67              -0.107979 31353.3 -1.07616
1.05              35.5964 0.779587 5377.22              -0.120568 31425.5 -4.44244
1.06              36.0662 37.0455 5512.68              8.62141 32127.1 -193.367
1.07              58.1259 5.97936 5429.69              1.09613 31709.2 -31.5665
1.08              62.4807 1.88633 5398.28              0.173782 31538.6 -10.06
1.09              79.5122 0.735118 5435.37              -0.079241 31744.1 -3.94791
1.1              84.6741 -34.3385 5535.92              -7.45748 32266.7 179.059
1.11              103.943 -6.41564 5490.33              -1.29407 32040 33.8484
1.12              111.13 -3.16493 5484.38              -0.553035 32008.5 16.883
1.13              116.081 -7.08729 5498.88              -2.24992 32084.5 37.2394
1.14              131.069 -2.57184 5530.35              -0.650565 32257.1 13.6782
1.15              139.774 -1.39767 5542.37              -0.195698 32326.7 7.47628
1.16              131.952 5.35692 5526.32              -0.750185 32230.5 -31.0164
1.17              152.366 -0.888722 5560.62              0.110984 32429.4 5.003
1.18              158.852 -0.941091 5569.64              0.125891 32481.1 5.44024
1.19              160.324 -0.872514 5565.57              0.123619 32463.4 5.13429
1.2              167.147 -0.758537 5575.25              0.130843 32519 4.60137
1.21              177.097 -0.656706 5607.1              0.133576 32694.8 4.05511
1.22              191.078 -0.642767 5640.58              0.118587 32876.7 4.01758
1.23              206.569 -0.629325 5678.99              0.103929 33085 3.96868
1.24              213.286 -0.84258 5701.24              0.0533878 33209.6 5.27688
1.25              224.576 -0.799212 5727.03              0.0394948 33351.6 5.05089
1.26              231.065 -0.46623 5739              0.0452385 33421.6 3.12412
1.27              240.985 -0.386021 5754.48              0.0334026 33510 2.6869
1.28              249.515 -0.313653 5769.78              0.0235649 33598.5 2.30093
1.29              260.066 -0.248643 5784.03              0.0179812 33681.2 1.94523
1.3              270.662 -0.199016 5802.23              0.00739977 33786.1 1.7005
1.31              282.065 -0.154637 5815.04              -0.00637748 33862 1.45685
1.32              294.388 -0.116227 5835.46              -0.0115556 33979.4 1.24339
1.33              308.358 -0.126555 5857.35              -0.0161995 34104.6 1.31065
1.34              319.327 0.579404 5875.15              -0.0267061 34207.7 -2.65565
1.35              335.335 -0.0102936 5897.41              -0.0336912 34335.9 0.668593
1.36              350.116 -0.0886382 5920.35              -0.0457966 34468 1.12846
1.37              366.024 -0.11087 5944.5              -0.0517481 34606.4 1.25626
1.38              381.688 -0.195345 5967.52              -0.0692463 34739.5 1.76218
1.39              398.65 -0.158008 5992.17              -0.0708041 34880.8 1.54016
1.4              415.654 -0.168482 6016.12              -0.0768579 35019.1 1.59472
1.41              434.572 -0.185231 6044.53              -0.0784074 35181.3 1.68663
1.42              453.402 -0.204739 6072.25              -0.081236 35340.3 1.79078
1.43              472.908 -0.192974 6097.03              -0.0836357 35483.6 1.71702
1.44              487.277 -0.149299 6098.34              -0.0992918 35504.2 1.46178
1.45              513.413 -0.210974 6148.57              -0.0823335 35782 1.78818
1.46              536.813 -0.217744 6178.14              -0.0868064 35950.5 1.80005
