*************************Generated by extractTensions.sh************************
*      Wed Oct 15 16:33:36 MDT 2025 - Case: backup_data/3D_RM6_noPTO_8CPH_scotch
* Note: Data was extracted from log.overInterDyMFoam using extractTensions.sh
*       Can be visualized with plotTensions.py
********************************************************************************
Time Line1_fx Line1_fy Line1_fz	Line2_fx Line2_fy Line2_fz	Line3_fx Line3_fy Line3_fz
0.01		-15.3041 	 -8.5265 	 -1.11708	-15.3041 	 8.5265 	 -1.11708	6.08463 	 -0 	 -1.78074
0.02		-15.3038 	 -8.52634 	 -1.11706	-15.3038 	 8.52634 	 -1.11706	6.08454 	 0 	 -1.78069
0.03		-15.3028 	 -8.52576 	 -1.11701	-15.3028 	 8.52576 	 -1.11701	6.08429 	 0 	 -1.78054
0.04		-15.301 	 -8.52482 	 -1.11692	-15.301 	 8.52482 	 -1.11692	6.08404 	 0 	 -1.78033
0.05		-15.2989 	 -8.52364 	 -1.11681	-15.2989 	 8.52364 	 -1.11681	6.08376 	 0 	 -1.78008
0.06		-15.2963 	 -8.52219 	 -1.11668	-15.2963 	 8.52219 	 -1.11668	6.08334 	 0 	 -1.77976
0.07		-15.2931 	 -8.52043 	 -1.11652	-15.2931 	 8.52043 	 -1.11652	6.08285 	 0 	 -1.77937
0.08		-15.2894 	 -8.51838 	 -1.11633	-15.2894 	 8.51838 	 -1.11633	6.08233 	 0 	 -1.77893
0.09		-15.2851 	 -8.51605 	 -1.11611	-15.2851 	 8.51605 	 -1.11611	6.08174 	 0 	 -1.77843
0.1		-15.2804 	 -8.51344 	 -1.11587	-15.2804 	 8.51344 	 -1.11587	6.08108 	 0 	 -1.77787
0.11		-15.2751 	 -8.51055 	 -1.1156	-15.2751 	 8.51055 	 -1.1156	6.0804 	 0 	 -1.77726
0.12		-15.2694 	 -8.50737 	 -1.11531	-15.2694 	 8.50737 	 -1.11531	6.07969 	 0 	 -1.77661
0.13		-15.2631 	 -8.50392 	 -1.11499	-15.2631 	 8.50392 	 -1.11499	6.07895 	 0 	 -1.77591
0.14		-15.2563 	 -8.50019 	 -1.11465	-15.2563 	 8.50019 	 -1.11465	6.0782 	 0 	 -1.77517
0.15		-15.249 	 -8.49618 	 -1.11427	-15.249 	 8.49618 	 -1.11427	6.07744 	 0 	 -1.77439
0.16		-15.2413 	 -8.49191 	 -1.11388	-15.2413 	 8.49191 	 -1.11388	6.07668 	 0 	 -1.77358
0.17		-15.233 	 -8.48737 	 -1.11345	-15.233 	 8.48737 	 -1.11345	6.07594 	 0 	 -1.77273
0.18		-15.2243 	 -8.48256 	 -1.11301	-15.2243 	 8.48256 	 -1.11301	6.07523 	 0 	 -1.77185
0.19		-15.2151 	 -8.47751 	 -1.11254	-15.2151 	 8.47751 	 -1.11254	6.07458 	 0 	 -1.77096
0.2		-15.2055 	 -8.47219 	 -1.11205	-15.2055 	 8.47219 	 -1.11205	6.07401 	 0 	 -1.77006
0.21		-15.1954 	 -8.46662 	 -1.11153	-15.1954 	 8.46662 	 -1.11153	6.07352 	 0 	 -1.76915
0.22		-15.1848 	 -8.46081 	 -1.111	-15.1848 	 8.46081 	 -1.111	6.07312 	 0 	 -1.76823
0.23		-15.1738 	 -8.45476 	 -1.11044	-15.1738 	 8.45476 	 -1.11044	6.07282 	 0 	 -1.76731
0.24		-15.1624 	 -8.44847 	 -1.10986	-15.1624 	 8.44847 	 -1.10986	6.07263 	 0 	 -1.76638
0.25		-15.1506 	 -8.44196 	 -1.10926	-15.1506 	 8.44196 	 -1.10926	6.07254 	 0 	 -1.76546
0.26		-15.1384 	 -8.43523 	 -1.10864	-15.1384 	 8.43523 	 -1.10864	6.07256 	 0 	 -1.76453
0.27		-15.1257 	 -8.42828 	 -1.108	-15.1257 	 8.42828 	 -1.108	6.07269 	 0 	 -1.76361
0.28		-15.1128 	 -8.42114 	 -1.10734	-15.1128 	 8.42114 	 -1.10734	6.07296 	 -0 	 -1.7627
0.29		-15.0994 	 -8.41379 	 -1.10667	-15.0994 	 8.41379 	 -1.10667	6.07338 	 -0 	 -1.76181
0.3		-15.0857 	 -8.40625 	 -1.10598	-15.0857 	 8.40625 	 -1.10598	6.07392 	 -0 	 -1.76092
0.31		-15.0717 	 -8.39853 	 -1.10527	-15.0717 	 8.39853 	 -1.10527	6.07461 	 -0 	 -1.76004
0.32		-15.0574 	 -8.39063 	 -1.10455	-15.0574 	 8.39063 	 -1.10455	6.07546 	 -0 	 -1.75919
0.33		-15.0427 	 -8.38255 	 -1.10381	-15.0427 	 8.38255 	 -1.10381	6.07649 	 -0 	 -1.75836
