*************************Generated by extractMotion.sh**********************
*      Thu May  8 17:05:41 MDT 2025 - Case: heave/mesh_2x
* Note: Data was extracted from log.overInterDyMFoam using extractMotion.sh
*       Can be visualized with plotMotion.py                            
****************************************************************************
Time X(x3) Orientation(x9) dX(x3) dX_angular(x3)
0.01 17.0729 0 -0.08614 1 0 0 0 1 0 0 0 1  -0 -0 -0.0280037 0 0 0
0.02 17.0729 0 -0.0862396 1 0 0 0 1 0 0 0 1  0 0 -0.0287257 0 0 0
0.03 17.0729 0 -0.0862456 1 0 0 0 1 0 0 0 1  0 0 -0.00280438 0 0 0
0.04 17.0729 0 -0.0865919 1 0 0 0 1 0 0 0 1  0 0 -0.036879 0 0 0
0.05 17.0729 0 -0.0867822 1 0 0 0 1 0 0 0 1  0 0 -0.0231571 0 0 0
0.06 17.0729 0 -0.0871164 1 0 0 0 1 0 0 0 1  0 0 -0.0343687 0 0 0
0.07 17.0729 0 -0.0875246 1 0 0 0 1 0 0 0 1  0 0 -0.0447435 0 0 0
0.08 17.0729 0 -0.0878859 1 0 0 0 1 0 0 0 1  0 0 -0.0380543 0 0 0
0.09 17.0729 0 -0.0884161 1 0 0 0 1 0 0 0 1  0 0 -0.0554455 0 0 0
0.1 17.0729 0 -0.0888892 1 0 0 0 1 0 0 0 1  0 0 -0.0501483 0 0 0
0.11 17.0729 0 -0.0894629 1 0 0 0 1 0 0 0 1  0 0 -0.0588951 0 0 0
0.12 17.0729 0 -0.0900641 1 0 0 0 1 0 0 0 1  0 0 -0.0623729 0 0 0
0.13 17.0729 0 -0.09066 1 0 0 0 1 0 0 0 1  0 0 -0.0602459 0 0 0
0.14 17.0729 0 -0.0914276 1 0 0 0 1 0 0 0 1  0 0 -0.0798338 0 0 0
0.15 17.0729 0 -0.0920879 1 0 0 0 1 0 0 0 1  0 0 -0.0683858 0 0 0
0.16 17.0729 0 -0.0928374 1 0 0 0 1 0 0 0 1  0 0 -0.0749226 0 0 0
0.17 17.0729 0 -0.0937318 1 0 0 0 1 0 0 0 1  0 0 -0.0936737 0 0 0
