*************************Generated by extractMotion.sh**********************
*      Wed Jul  2 13:43:52 MDT 2025 - Case: heave/mesh_4x/
* Note: Data was extracted from log.overInterDyMFoam using extractMotion.sh
*       Can be visualized with plotMotion.py                            
****************************************************************************
Time X(x3) Orientation(x9) dX(x3) dX_angular(x3)
0.01 16.7233 0 -0.28614 1 0 0 0 1 0 0 0 1  0 0 -0.0280827 0 0 0
0.02 16.7233 0 -0.286214 1 0 0 0 1 0 0 0 1  0 0 -0.0256493 0 0 0
0.03 16.7233 0 -0.286211 1 0 0 0 1 0 0 0 1  0 0 -0.00163974 0 0 0
0.04 16.7233 0 -0.28652 1 0 0 0 1 0 0 0 1  0 0 -0.033027 0 0 0
0.05 16.7233 0 -0.28667 1 0 0 0 1 0 0 0 1  0 0 -0.0185487 0 0 0
0.06 16.7233 0 -0.286957 1 0 0 0 1 0 0 0 1  0 0 -0.029195 0 0 0
0.07 16.7233 0 -0.287314 1 0 0 0 1 0 0 0 1  0 0 -0.0393596 0 0 0
0.08 16.7233 0 -0.287625 1 0 0 0 1 0 0 0 1  0 0 -0.0329665 0 0 0
0.09 16.7233 0 -0.288126 1 0 0 0 1 0 0 0 1  0 0 -0.053034 0 0 0
0.1 16.7233 0 -0.288567 1 0 0 0 1 0 0 0 1  0 0 -0.047494 0 0 0
0.11 16.7233 0 -0.289133 1 0 0 0 1 0 0 0 1  0 0 -0.0586117 0 0 0
0.12 16.7233 0 -0.289742 1 0 0 0 1 0 0 0 1  0 0 -0.0644964 0 0 0
0.13 16.7233 0 -0.290362 1 0 0 0 1 0 0 0 1  0 0 -0.0639297 0 0 0
0.14 16.7233 0 -0.291129 1 0 0 0 1 0 0 0 1  0 0 -0.0800379 0 0 0
0.15 16.7233 0 -0.291846 1 0 0 0 1 0 0 0 1  0 0 -0.0747684 0 0 0
0.16 16.7233 0 -0.292695 1 0 0 0 1 0 0 0 1  0 0 -0.0877257 0 0 0
0.17 16.7233 0 -0.293556 1 0 0 0 1 0 0 0 1  0 0 -0.0899934 0 0 0
