*************************Generated by extractMotion.sh**********************
*      Wed Jul  2 13:43:52 MDT 2025 - Case: heave/mesh_4x/
* Note: Data was extracted from log.overInterDyMFoam using extractMotion.sh
*       Can be visualized with plotMotion.py                            
0.18 16.7233 0 -0.294459 1 0 0 0 1 0 0 0 1  0 0 -0.0925659 0 0 0
0.19 16.7233 0 -0.295432 1 0 0 0 1 0 0 0 1  0 0 -0.100733 0 0 0
0.2 16.7233 0 -0.296422 1 0 0 0 1 0 0 0 1  0 0 -0.102031 0 0 0
0.21 16.7233 0 -0.297476 1 0 0 0 1 0 0 0 1  0 0 -0.106567 0 0 0
0.22 16.7233 0 -0.298587 1 0 0 0 1 0 0 0 1  0 0 -0.113758 0 0 0
0.23 16.7233 0 -0.299734 1 0 0 0 1 0 0 0 1  0 0 -0.117372 0 0 0
0.24 16.7233 0 -0.300998 1 0 0 0 1 0 0 0 1  0 0 -0.131255 0 0 0
0.25 16.7233 0 -0.302178 1 0 0 0 1 0 0 0 1  0 0 -0.120721 0 0 0
0.26 16.7233 0 -0.303512 1 0 0 0 1 0 0 0 1  0 0 -0.1346 0 0 0
0.27 16.7233 0 -0.304824 1 0 0 0 1 0 0 0 1  0 0 -0.134118 0 0 0
0.28 16.7233 0 -0.306175 1 0 0 0 1 0 0 0 1  0 0 -0.136317 0 0 0
0.29 16.7233 0 -0.30757 1 0 0 0 1 0 0 0 1  0 0 -0.142245 0 0 0
0.3 16.7233 0 -0.308969 1 0 0 0 1 0 0 0 1  0 0 -0.142665 0 0 0
0.31 16.7233 0 -0.310478 1 0 0 0 1 0 0 0 1  0 0 -0.152005 0 0 0
0.32 16.7233 0 -0.311889 1 0 0 0 1 0 0 0 1  0 0 -0.141331 0 0 0
0.33 16.7233 0 -0.31352 1 0 0 0 1 0 0 0 1  0 0 -0.16795 0 0 0
0.34 16.7233 0 -0.314949 1 0 0 0 1 0 0 0 1  0 0 -0.145334 0 0 0
0.35 16.7233 0 -0.316659 1 0 0 0 1 0 0 0 1  0 0 -0.170417 0 0 0
0.36 16.7233 0 -0.318223 1 0 0 0 1 0 0 0 1  0 0 -0.157689 0 0 0
0.37 16.7233 0 -0.319949 1 0 0 0 1 0 0 0 1  0 0 -0.175026 0 0 0
0.38 16.7233 0 -0.32159 1 0 0 0 1 0 0 0 1  0 0 -0.167352 0 0 0
0.39 16.7233 0 -0.323319 1 0 0 0 1 0 0 0 1  0 0 -0.17459 0 0 0
0.4 16.7233 0 -0.325061 1 0 0 0 1 0 0 0 1  0 0 -0.176513 0 0 0
0.41 16.7233 0 -0.326812 1 0 0 0 1 0 0 0 1  0 0 -0.176486 0 0 0
0.42 16.7233 0 -0.328687 1 0 0 0 1 0 0 0 1  0 0 -0.190583 0 0 0
0.43 16.7233 0 -0.330503 1 0 0 0 1 0 0 0 1  0 0 -0.183444 0 0 0
0.44 16.7233 0 -0.332432 1 0 0 0 1 0 0 0 1  0 0 -0.193616 0 0 0
0.45 16.7233 0 -0.3344 1 0 0 0 1 0 0 0 1  0 0 -0.199495 0 0 0
0.46 16.7233 0 -0.336138 1 0 0 0 1 0 0 0 1  0 0 -0.170094 0 0 0
0.47 16.7233 0 -0.33828 1 0 0 0 1 0 0 0 1  0 0 -0.215882 0 0 0
0.48 16.7233 0 -0.340091 1 0 0 0 1 0 0 0 1  0 0 -0.184848 0 0 0
0.49 16.7233 0 -0.342143 1 0 0 0 1 0 0 0 1  0 0 -0.204412 0 0 0
0.5 16.7233 0 -0.344167 1 0 0 0 1 0 0 0 1  0 0 -0.206006 0 0 0
0.51 16.7233 0 -0.346202 1 0 0 0 1 0 0 0 1  0 0 -0.205221 0 0 0
0.52 16.7233 0 -0.348313 1 0 0 0 1 0 0 0 1  0 0 -0.213388 0 0 0
0.53 16.7233 0 -0.350469 1 0 0 0 1 0 0 0 1  0 0 -0.219371 0 0 0
0.54 16.7233 0 -0.352277 1 0 0 0 1 0 0 0 1  0 0 -0.178438 0 0 0
0.55 16.7233 0 -0.354636 1 0 0 0 1 0 0 0 1  0 0 -0.24148 0 0 0
0.56 16.7233 0 -0.356404 1 0 0 0 1 0 0 0 1  0 0 -0.179315 0 0 0
0.57 16.7233 0 -0.358645 1 0 0 0 1 0 0 0 1  0 0 -0.221635 0 0 0
0.58 16.7233 0 -0.360708 1 0 0 0 1 0 0 0 1  0 0 -0.210929 0 0 0
0.59 16.7233 0 -0.362724 1 0 0 0 1 0 0 0 1  0 0 -0.200735 0 0 0
0.6 16.7233 0 -0.36498 1 0 0 0 1 0 0 0 1  0 0 -0.228612 0 0 0
0.61 16.7233 0 -0.366973 1 0 0 0 1 0 0 0 1  0 0 -0.20153 0 0 0
0.62 16.7233 0 -0.369052 1 0 0 0 1 0 0 0 1  0 0 -0.207246 0 0 0
0.63 16.7233 0 -0.3712 1 0 0 0 1 0 0 0 1  0 0 -0.217393 0 0 0
0.64 16.7233 0 -0.373158 1 0 0 0 1 0 0 0 1  0 0 -0.194371 0 0 0
0.65 16.7233 0 -0.375371 1 0 0 0 1 0 0 0 1  0 0 -0.221497 0 0 0
0.66 16.7233 0 -0.37735 1 0 0 0 1 0 0 0 1  0 0 -0.19883 0 0 0
0.67 16.7233 0 -0.379473 1 0 0 0 1 0 0 0 1  0 0 -0.210844 0 0 0
0.68 16.7233 0 -0.38157 1 0 0 0 1 0 0 0 1  0 0 -0.211544 0 0 0
0.69 16.7233 0 -0.383642 1 0 0 0 1 0 0 0 1  0 0 -0.207214 0 0 0
0.7 16.7233 0 -0.385813 1 0 0 0 1 0 0 0 1  0 0 -0.218454 0 0 0
0.71 16.7233 0 -0.387858 1 0 0 0 1 0 0 0 1  0 0 -0.204537 0 0 0
0.72 16.7233 0 -0.389983 1 0 0 0 1 0 0 0 1  0 0 -0.211386 0 0 0
0.73 16.7233 0 -0.392126 1 0 0 0 1 0 0 0 1  0 0 -0.21578 0 0 0
0.74 16.7233 0 -0.394171 1 0 0 0 1 0 0 0 1  0 0 -0.203753 0 0 0
0.75 16.7233 0 -0.396313 1 0 0 0 1 0 0 0 1  0 0 -0.213614 0 0 0
0.76 16.7233 0 -0.398359 1 0 0 0 1 0 0 0 1  0 0 -0.204759 0 0 0
0.77 16.7233 0 -0.400458 1 0 0 0 1 0 0 0 1  0 0 -0.209289 0 0 0
0.78 16.7233 0 -0.402537 1 0 0 0 1 0 0 0 1  0 0 -0.208295 0 0 0
0.79 16.7233 0 -0.404574 1 0 0 0 1 0 0 0 1  0 0 -0.202756 0 0 0
0.8 16.7233 0 -0.406628 1 0 0 0 1 0 0 0 1  0 0 -0.204331 0 0 0
0.81 16.7233 0 -0.408675 1 0 0 0 1 0 0 0 1  0 0 -0.204778 0 0 0
0.82 16.7233 0 -0.410686 1 0 0 0 1 0 0 0 1  0 0 -0.200406 0 0 0
0.83 16.7233 0 -0.412702 1 0 0 0 1 0 0 0 1  0 0 -0.200697 0 0 0
0.84 16.7233 0 -0.414665 1 0 0 0 1 0 0 0 1  0 0 -0.195098 0 0 0
0.85 16.7233 0 -0.41664 1 0 0 0 1 0 0 0 1  0 0 -0.196588 0 0 0
0.86 16.7233 0 -0.418575 1 0 0 0 1 0 0 0 1  0 0 -0.192865 0 0 0
0.87 16.7233 0 -0.420504 1 0 0 0 1 0 0 0 1  0 0 -0.191767 0 0 0
0.88 16.7233 0 -0.422421 1 0 0 0 1 0 0 0 1  0 0 -0.190972 0 0 0
0.89 16.7233 0 -0.424313 1 0 0 0 1 0 0 0 1  0 0 -0.188368 0 0 0
0.9 16.7233 0 -0.426213 1 0 0 0 1 0 0 0 1  0 0 -0.189369 0 0 0
0.91 16.7233 0 -0.428092 1 0 0 0 1 0 0 0 1  0 0 -0.187589 0 0 0
0.92 16.7233 0 -0.429928 1 0 0 0 1 0 0 0 1  0 0 -0.182247 0 0 0
0.93 16.7233 0 -0.431768 1 0 0 0 1 0 0 0 1  0 0 -0.182613 0 0 0
0.94 16.7233 0 -0.433566 1 0 0 0 1 0 0 0 1  0 0 -0.178855 0 0 0
0.95 16.7233 0 -0.435319 1 0 0 0 1 0 0 0 1  0 0 -0.17345 0 0 0
0.96 16.7233 0 -0.437089 1 0 0 0 1 0 0 0 1  0 0 -0.175995 0 0 0
0.97 16.7233 0 -0.438802 1 0 0 0 1 0 0 0 1  0 0 -0.170565 0 0 0
0.98 16.7233 0 -0.440529 1 0 0 0 1 0 0 0 1  0 0 -0.171852 0 0 0
0.99 16.7233 0 -0.442198 1 0 0 0 1 0 0 0 1  0 0 -0.165853 0 0 0
1 16.7233 0 -0.443881 1 0 0 0 1 0 0 0 1  0 0 -0.167278 0 0 0
1.01 16.7233 0 -0.445557 1 0 0 0 1 0 0 0 1  0 0 -0.167391 0 0 0
1.02 16.7233 0 -0.447152 1 0 0 0 1 0 0 0 1  0 0 -0.157757 0 0 0
1.03 16.7233 0 -0.448786 1 0 0 0 1 0 0 0 1  0 0 -0.162323 0 0 0
1.04 16.7233 0 -0.450347 1 0 0 0 1 0 0 0 1  0 0 -0.15591 0 0 0
1.05 16.7233 0 -0.451878 1 0 0 0 1 0 0 0 1  0 0 -0.151115 0 0 0
1.06 16.7233 0 -0.453444 1 0 0 0 1 0 0 0 1  0 0 -0.156013 0 0 0
1.07 16.7233 0 -0.45492 1 0 0 0 1 0 0 0 1  0 0 -0.146695 0 0 0
1.08 16.7233 0 -0.456451 1 0 0 0 1 0 0 0 1  0 0 -0.152225 0 0 0
1.09 16.7233 0 -0.457889 1 0 0 0 1 0 0 0 1  0 0 -0.142947 0 0 0
1.1 16.7233 0 -0.45937 1 0 0 0 1 0 0 0 1  0 0 -0.146923 0 0 0
1.11 16.7233 0 -0.460803 1 0 0 0 1 0 0 0 1  0 0 -0.142875 0 0 0
1.12 16.7233 0 -0.46225 1 0 0 0 1 0 0 0 1  0 0 -0.144097 0 0 0
1.13 16.7233 0 -0.463657 1 0 0 0 1 0 0 0 1  0 0 -0.139961 0 0 0
1.14 16.7233 0 -0.465068 1 0 0 0 1 0 0 0 1  0 0 -0.140338 0 0 0
1.15 16.7233 0 -0.466439 1 0 0 0 1 0 0 0 1  0 0 -0.136401 0 0 0
1.16 16.7233 0 -0.467785 1 0 0 0 1 0 0 0 1  0 0 -0.133129 0 0 0
1.17 16.7233 0 -0.469138 1 0 0 0 1 0 0 0 1  0 0 -0.134528 0 0 0
1.18 16.7233 0 -0.470432 1 0 0 0 1 0 0 0 1  0 0 -0.128352 0 0 0
1.19 16.7233 0 -0.471731 1 0 0 0 1 0 0 0 1  0 0 -0.128415 0 0 0
1.2 16.7233 0 -0.47302 1 0 0 0 1 0 0 0 1  0 0 -0.128497 0 0 0
1.21 16.7233 0 -0.474255 1 0 0 0 1 0 0 0 1  0 0 -0.122339 0 0 0
1.22 16.7233 0 -0.475492 1 0 0 0 1 0 0 0 1  0 0 -0.122239 0 0 0
1.23 16.7233 0 -0.47671 1 0 0 0 1 0 0 0 1  0 0 -0.121138 0 0 0
1.24 16.7233 0 -0.477892 1 0 0 0 1 0 0 0 1  0 0 -0.117115 0 0 0
1.25 16.7233 0 -0.479079 1 0 0 0 1 0 0 0 1  0 0 -0.117738 0 0 0
1.26 16.7233 0 -0.48021 1 0 0 0 1 0 0 0 1  0 0 -0.111895 0 0 0
1.27 16.7233 0 -0.481352 1 0 0 0 1 0 0 0 1  0 0 -0.112921 0 0 0
1.28 16.7233 0 -0.482449 1 0 0 0 1 0 0 0 1  0 0 -0.108764 0 0 0
1.29 16.7233 0 -0.483543 1 0 0 0 1 0 0 0 1  0 0 -0.108056 0 0 0
1.3 16.7233 0 -0.484591 1 0 0 0 1 0 0 0 1  0 0 -0.103269 0 0 0
1.31 16.7233 0 -0.48564 1 0 0 0 1 0 0 0 1  0 0 -0.103619 0 0 0
1.32 16.7233 0 -0.486645 1 0 0 0 1 0 0 0 1  0 0 -0.0994741 0 0 0
1.33 16.7233 0 -0.48763 1 0 0 0 1 0 0 0 1  0 0 -0.0970884 0 0 0
1.34 16.7233 0 -0.488608 1 0 0 0 1 0 0 0 1  0 0 -0.0968791 0 0 0
1.35 16.7233 0 -0.489535 1 0 0 0 1 0 0 0 1  0 0 -0.0914615 0 0 0
1.36 16.7233 0 -0.490482 1 0 0 0 1 0 0 0 1  0 0 -0.0937571 0 0 0
1.37 16.7233 0 -0.491371 1 0 0 0 1 0 0 0 1  0 0 -0.0881186 0 0 0
1.38 16.7233 0 -0.492269 1 0 0 0 1 0 0 0 1  0 0 -0.0886342 0 0 0
1.39 16.7233 0 -0.493141 1 0 0 0 1 0 0 0 1  0 0 -0.0865679 0 0 0
1.4 16.7233 0 -0.493989 1 0 0 0 1 0 0 0 1  0 0 -0.0836654 0 0 0
1.41 16.7233 0 -0.494835 1 0 0 0 1 0 0 0 1  0 0 -0.0837709 0 0 0
1.42 16.7233 0 -0.495644 1 0 0 0 1 0 0 0 1  0 0 -0.0799997 0 0 0
1.43 16.7233 0 -0.496437 1 0 0 0 1 0 0 0 1  0 0 -0.0779601 0 0 0
1.44 16.7233 0 -0.497218 1 0 0 0 1 0 0 0 1  0 0 -0.0772134 0 0 0
1.45 16.7233 0 -0.497962 1 0 0 0 1 0 0 0 1  0 0 -0.0734281 0 0 0
1.46 16.7233 0 -0.498701 1 0 0 0 1 0 0 0 1  0 0 -0.0727421 0 0 0
1.47 16.7233 0 -0.499409 1 0 0 0 1 0 0 0 1  0 0 -0.0698914 0 0 0
1.48 16.7233 0 -0.500099 1 0 0 0 1 0 0 0 1  0 0 -0.0677664 0 0 0
1.49 16.7233 0 -0.500773 1 0 0 0 1 0 0 0 1  0 0 -0.0665363 0 0 0
1.5 16.7233 0 -0.50142 1 0 0 0 1 0 0 0 1  0 0 -0.0636542 0 0 0
1.51 16.7233 0 -0.502056 1 0 0 0 1 0 0 0 1  0 0 -0.062553 0 0 0
1.52 16.7233 0 -0.502664 1 0 0 0 1 0 0 0 1  0 0 -0.0598668 0 0 0
1.53 16.7233 0 -0.503254 1 0 0 0 1 0 0 0 1  0 0 -0.057872 0 0 0
1.54 16.7233 0 -0.503828 1 0 0 0 1 0 0 0 1  -0 -0 -0.0564796 0 0 0
1.55 16.7233 0 -0.504373 1 0 0 0 1 0 0 0 1  -0 -0 -0.0534212 0 0 0
1.56 16.7233 0 -0.504916 1 0 0 0 1 0 0 0 1  -0 -0 -0.0533963 0 0 0
1.57 16.7233 0 -0.505423 1 0 0 0 1 0 0 0 1  -0 -0 -0.0498097 0 0 0
1.58 16.7233 0 -0.505932 1 0 0 0 1 0 0 0 1  -0 -0 -0.0499801 0 0 0
1.59 16.7233 0 -0.506412 1 0 0 0 1 0 0 0 1  -0 -0 -0.047393 0 0 0
1.6 16.7233 0 -0.506872 1 0 0 0 1 0 0 0 1  -0 -0 -0.0449097 0 0 0
1.61 16.7233 0 -0.507338 1 0 0 0 1 0 0 0 1  0 0 -0.0459833 0 0 0
1.62 16.7233 0 -0.507761 1 0 0 0 1 0 0 0 1  0 0 -0.0415864 0 0 0
1.63 16.7233 0 -0.50819 1 0 0 0 1 0 0 0 1  0 0 -0.0420802 0 0 0
1.64 16.7233 0 -0.508595 1 0 0 0 1 0 0 0 1  0 0 -0.0400104 0 0 0
1.65 16.7233 0 -0.508983 1 0 0 0 1 0 0 0 1  0 0 -0.0379279 0 0 0
1.66 16.7233 0 -0.509368 1 0 0 0 1 0 0 0 1  0 0 -0.0378272 0 0 0
1.67 16.7233 0 -0.509728 1 0 0 0 1 0 0 0 1  0 0 -0.0353965 0 0 0
1.68 16.7233 0 -0.510083 1 0 0 0 1 0 0 0 1  0 0 -0.0346744 0 0 0
1.69 16.7233 0 -0.510421 1 0 0 0 1 0 0 0 1  0 0 -0.0332709 0 0 0
1.7 16.7233 0 -0.510747 1 0 0 0 1 0 0 0 1  0 0 -0.0318324 0 0 0
1.71 16.7233 0 -0.511062 1 0 0 0 1 0 0 0 1  0 0 -0.030886 0 0 0
1.72 16.7233 0 -0.511362 1 0 0 0 1 0 0 0 1  0 0 -0.0293988 0 0 0
1.73 16.7233 0 -0.511652 1 0 0 0 1 0 0 0 1  0 0 -0.0283087 0 0 0
1.74 16.7233 0 -0.511929 1 0 0 0 1 0 0 0 1  0 0 -0.0272244 0 0 0
1.75 16.7233 0 -0.512194 1 0 0 0 1 0 0 0 1  0 0 -0.0258298 0 0 0
1.76 16.7233 0 -0.512448 1 0 0 0 1 0 0 0 1  0 0 -0.0247902 0 0 0
1.77 16.7233 0 -0.512689 1 0 0 0 1 0 0 0 1  0 0 -0.0235775 0 0 0
1.78 16.7233 0 -0.512921 1 0 0 0 1 0 0 0 1  0 0 -0.0226246 0 0 0
1.79 16.7233 0 -0.513141 1 0 0 0 1 0 0 0 1  0 0 -0.0214641 0 0 0
1.8 16.7233 0 -0.513352 1 0 0 0 1 0 0 0 1  0 0 -0.0205652 0 0 0
1.81 16.7233 0 -0.513552 1 0 0 0 1 0 0 0 1  0 0 -0.0195289 0 0 0
1.82 16.7233 0 -0.513743 1 0 0 0 1 0 0 0 1  0 0 -0.0186326 0 0 0
1.83 16.7233 0 -0.513925 1 0 0 0 1 0 0 0 1  0 0 -0.0177139 0 0 0
1.84 16.7233 0 -0.514098 1 0 0 0 1 0 0 0 1  0 0 -0.0168794 0 0 0
1.85 16.7233 0 -0.514263 1 0 0 0 1 0 0 0 1  0 0 -0.0160063 0 0 0
1.86 16.7233 0 -0.51442 1 0 0 0 1 0 0 0 1  0 0 -0.0152982 0 0 0
1.87 16.7233 0 -0.514568 1 0 0 0 1 0 0 0 1  0 0 -0.0144005 0 0 0
1.88 16.7233 0 -0.51471 1 0 0 0 1 0 0 0 1  0 0 -0.0138514 0 0 0
1.89 16.7233 0 -0.514844 1 0 0 0 1 0 0 0 1  0 0 -0.013035 0 0 0
1.9 16.7233 0 -0.514971 1 0 0 0 1 0 0 0 1  0 0 -0.0124253 0 0 0
1.91 16.7233 0 -0.515093 1 0 0 0 1 0 0 0 1  0 0 -0.0118208 0 0 0
1.92 16.7233 0 -0.515208 1 0 0 0 1 0 0 0 1  0 0 -0.011192 0 0 0
1.93 16.7233 0 -0.515317 1 0 0 0 1 0 0 0 1  0 0 -0.010602 0 0 0
1.94 16.7233 0 -0.515421 1 0 0 0 1 0 0 0 1  0 0 -0.0101084 0 0 0
1.95 16.7233 0 -0.51552 1 0 0 0 1 0 0 0 1  0 0 -0.00962821 0 0 0
1.96 16.7233 0 -0.515613 1 0 0 0 1 0 0 0 1  0 0 -0.00912665 0 0 0
1.97 16.7233 0 -0.515703 1 0 0 0 1 0 0 0 1  0 0 -0.00868509 0 0 0
1.98 16.7233 0 -0.515788 1 0 0 0 1 0 0 0 1  0 0 -0.00833605 0 0 0
1.99 16.7233 0 -0.515869 1 0 0 0 1 0 0 0 1  0 0 -0.00792321 0 0 0
2 16.7233 0 -0.515947 1 0 0 0 1 0 0 0 1  0 0 -0.00765763 0 0 0
2.01 16.7233 0 -0.516022 1 0 0 0 1 0 0 0 1  0 0 -0.00731227 0 0 0
2.02 16.7233 0 -0.516094 1 0 0 0 1 0 0 0 1  0 0 -0.00704094 0 0 0
2.03 16.7233 0 -0.516163 1 0 0 0 1 0 0 0 1  -0 -0 -0.00680782 0 0 0
2.04 16.7233 0 -0.51623 1 0 0 0 1 0 0 0 1  -0 -0 -0.00658507 0 0 0
2.05 16.7233 0 -0.516295 1 0 0 0 1 0 0 0 1  -0 -0 -0.00633641 0 0 0
2.06 16.7233 0 -0.516358 1 0 0 0 1 0 0 0 1  -0 -0 -0.00620153 0 0 0
2.07 16.7233 0 -0.51642 1 0 0 0 1 0 0 0 1  -0 -0 -0.00603015 0 0 0
2.08 16.7233 0 -0.516479 1 0 0 0 1 0 0 0 1  -0 -0 -0.00589874 0 0 0
2.09 16.7233 0 -0.516539 1 0 0 0 1 0 0 0 1  -0 -0 -0.00583403 0 0 0
2.1 16.7233 0 -0.516596 1 0 0 0 1 0 0 0 1  -0 -0 -0.00573558 0 0 0
2.11 16.7233 0 -0.516654 1 0 0 0 1 0 0 0 1  -0 -0 -0.00574244 0 0 0
2.12 16.7233 0 -0.516711 1 0 0 0 1 0 0 0 1  -0 -0 -0.00568335 0 0 0
2.13 16.7233 0 -0.516768 1 0 0 0 1 0 0 0 1  -0 -0 -0.0056581 0 0 0
2.14 16.7233 0 -0.516825 1 0 0 0 1 0 0 0 1  -0 -0 -0.00573081 0 0 0
2.15 16.7233 0 -0.516883 1 0 0 0 1 0 0 0 1  -0 -0 -0.00577962 0 0 0
2.16 16.7233 0 -0.51694 1 0 0 0 1 0 0 0 1  -0 -0 -0.00575847 0 0 0
2.17 16.7233 0 -0.516999 1 0 0 0 1 0 0 0 1  -0 -0 -0.00591919 0 0 0
2.18 16.7233 0 -0.517058 1 0 0 0 1 0 0 0 1  -0 -0 -0.00596388 0 0 0
2.19 16.7233 0 -0.517119 1 0 0 0 1 0 0 0 1  -0 -0 -0.00605686 0 0 0
2.2 16.7233 0 -0.517181 1 0 0 0 1 0 0 0 1  -0 -0 -0.00622365 0 0 0
2.21 16.7233 0 -0.517243 1 0 0 0 1 0 0 0 1  -0 -0 -0.00632179 0 0 0
2.22 16.7233 0 -0.517308 1 0 0 0 1 0 0 0 1  -0 -0 -0.00656579 0 0 0
2.23 16.7233 0 -0.517375 1 0 0 0 1 0 0 0 1  -0 -0 -0.00673151 0 0 0
2.24 16.7233 0 -0.517443 1 0 0 0 1 0 0 0 1  -0 -0 -0.00695996 0 0 0
2.25 16.7233 0 -0.517514 1 0 0 0 1 0 0 0 1  -0 -0 -0.00719939 0 0 0
2.26 16.7233 0 -0.517588 1 0 0 0 1 0 0 0 1  -0 -0 -0.00743493 0 0 0
2.27 16.7233 0 -0.517664 1 0 0 0 1 0 0 0 1  -0 -0 -0.00773539 0 0 0
2.28 16.7233 0 -0.517742 1 0 0 0 1 0 0 0 1  0 0 -0.00797867 0 0 0
2.29 16.7233 0 -0.517824 1 0 0 0 1 0 0 0 1  0 0 -0.0083045 0 0 0
2.3 16.7233 0 -0.517908 1 0 0 0 1 0 0 0 1  0 0 -0.00860715 0 0 0
2.31 16.7233 0 -0.517995 1 0 0 0 1 0 0 0 1  0 0 -0.00885225 0 0 0
2.32 16.7233 0 -0.518086 1 0 0 0 1 0 0 0 1  0 0 -0.00923851 0 0 0
2.33 16.7233 0 -0.51818 1 0 0 0 1 0 0 0 1  0 0 -0.00953698 0 0 0
2.34 16.7233 0 -0.518267 1 0 0 0 1 0 0 0 1  0 0 -0.00872795 0 0 0
2.35 16.7233 0 -0.518373 1 0 0 0 1 0 0 0 1  0 0 -0.0108123 0 0 0
2.36 16.7233 0 -0.518466 1 0 0 0 1 0 0 0 1  0 0 -0.009477 0 0 0
2.37 16.7233 0 -0.518574 1 0 0 0 1 0 0 0 1  0 0 -0.0108353 0 0 0
2.38 16.7233 0 -0.518681 1 0 0 0 1 0 0 0 1  0 0 -0.0110031 0 0 0
2.39 16.7233 0 -0.51879 1 0 0 0 1 0 0 0 1  0 0 -0.0109541 0 0 0
2.4 16.7233 0 -0.518908 1 0 0 0 1 0 0 0 1  0 0 -0.012033 0 0 0
2.41 16.7233 0 -0.519024 1 0 0 0 1 0 0 0 1  0 0 -0.011776 0 0 0
2.42 16.7233 0 -0.519148 1 0 0 0 1 0 0 0 1  0 0 -0.0126237 0 0 0
2.43 16.7233 0 -0.519275 1 0 0 0 1 0 0 0 1  0 0 -0.0128771 0 0 0
2.44 16.7233 0 -0.519405 1 0 0 0 1 0 0 0 1  0 0 -0.0131619 0 0 0
2.45 16.7233 0 -0.519541 1 0 0 0 1 0 0 0 1  0 0 -0.0138925 0 0 0
2.46 16.7233 0 -0.519679 1 0 0 0 1 0 0 0 1  0 0 -0.0139465 0 0 0
2.47 16.7233 0 -0.519823 1 0 0 0 1 0 0 0 1  0 0 -0.014616 0 0 0
2.48 16.7233 0 -0.51997 1 0 0 0 1 0 0 0 1  0 0 -0.0149777 0 0 0
2.49 16.7233 0 -0.520121 1 0 0 0 1 0 0 0 1  0 0 -0.0152669 0 0 0
2.5 16.7233 0 -0.520278 1 0 0 0 1 0 0 0 1  0 0 -0.015882 0 0 0
2.51 16.7233 0 -0.520437 1 0 0 0 1 0 0 0 1  0 0 -0.0161003 0 0 0
2.52 16.7233 0 -0.520601 1 0 0 0 1 0 0 0 1  0 0 -0.0166174 0 0 0
2.53 16.7233 0 -0.520769 1 0 0 0 1 0 0 0 1  0 0 -0.0169734 0 0 0
2.54 16.7233 0 -0.52094 1 0 0 0 1 0 0 0 1  0 0 -0.0173904 0 0 0
2.55 16.7233 0 -0.521116 1 0 0 0 1 0 0 0 1  0 0 -0.0177712 0 0 0
2.56 16.7233 0 -0.521296 1 0 0 0 1 0 0 0 1  0 0 -0.0181781 0 0 0
2.57 16.7233 0 -0.521479 1 0 0 0 1 0 0 0 1  0 0 -0.018551 0 0 0
2.58 16.7233 0 -0.521667 1 0 0 0 1 0 0 0 1  0 0 -0.0189422 0 0 0
2.59 16.7233 0 -0.521858 1 0 0 0 1 0 0 0 1  0 0 -0.019334 0 0 0
2.6 16.7233 0 -0.522053 1 0 0 0 1 0 0 0 1  0 0 -0.019695 0 0 0
2.61 16.7233 0 -0.522256 1 0 0 0 1 0 0 0 1  0 0 -0.0204751 0 0 0
2.62 16.7233 0 -0.522456 1 0 0 0 1 0 0 0 1  0 0 -0.0202183 0 0 0
2.63 16.7233 0 -0.522667 1 0 0 0 1 0 0 0 1  0 0 -0.0212636 0 0 0
2.64 16.7233 0 -0.522876 1 0 0 0 1 0 0 0 1  0 0 -0.0210843 0 0 0
2.65 16.7233 0 -0.523091 1 0 0 0 1 0 0 0 1  0 0 -0.0217149 0 0 0
